# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(j3Dg) (sum over all final vibrational levels)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 9.68469E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.68469E+00   0.00000E+00
  1.00000E+01   2.32532E-06
  1.05000E+01   1.68978E-06
  1.15000E+01   1.73309E-02
  1.20000E+01   2.82616E-02
  1.25000E+01   3.01913E-02
  1.30000E+01   3.03825E-02
  1.35000E+01   2.99159E-02
  1.40000E+01   2.88703E-02
  1.45000E+01   2.78488E-02
  1.50000E+01   2.67783E-02
  1.55000E+01   2.55288E-02
  1.60000E+01   2.42547E-02
  1.65000E+01   2.30636E-02
  1.70000E+01   2.19653E-02
  1.75000E+01   2.09036E-02
  1.80000E+01   1.98478E-02
  1.85000E+01   1.88142E-02
  1.90000E+01   1.78236E-02
  1.95000E+01   1.68669E-02
  2.00000E+01   1.59463E-02
  2.10000E+01   1.42838E-02
  2.20000E+01   1.28244E-02
  2.30000E+01   1.15413E-02
  2.40000E+01   1.04078E-02
  2.50000E+01   9.41027E-03
  2.60000E+01   8.53226E-03
  2.70000E+01   7.75759E-03
  2.80000E+01   7.07170E-03
  2.90000E+01   6.46121E-03
  3.00000E+01   5.91985E-03
  3.50000E+01   3.93440E-03
  4.00000E+01   2.72875E-03
  4.50000E+01   1.95199E-03
  5.00000E+01   1.47257E-03
  6.00000E+01   9.02438E-04
  7.00000E+01   5.91619E-04
  8.00000E+01   4.08810E-04
  9.00000E+01   2.94377E-04
  1.00000E+02   2.19272E-04
  1.25000E+02   1.16912E-04
  1.50000E+02   6.98244E-05
