# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=13) -> e + H2(J1Dg) (dissociative excitation)
# Initial-state energy: -1.00346 Hartrees
#
# Threshold: 1.21882E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.21882E+01   0.00000E+00
  1.25000E+01   1.16223E-04
  1.30000E+01   5.05309E-04
  1.35000E+01   9.11444E-04
  1.40000E+01   1.28608E-03
  1.45000E+01   1.78040E-03
  1.50000E+01   2.26409E-03
  1.55000E+01   2.50417E-03
  1.60000E+01   2.87871E-03
  1.65000E+01   2.93380E-03
  1.70000E+01   3.19437E-03
  1.75000E+01   3.27491E-03
  1.80000E+01   3.41634E-03
  1.85000E+01   3.56739E-03
  1.90000E+01   3.66888E-03
  1.95000E+01   3.74042E-03
  2.00000E+01   3.79087E-03
  2.10000E+01   3.85096E-03
  2.20000E+01   3.87440E-03
  2.30000E+01   3.87323E-03
  2.40000E+01   3.85483E-03
  2.50000E+01   3.82486E-03
  2.60000E+01   3.78658E-03
  2.70000E+01   3.74257E-03
  2.80000E+01   3.69464E-03
  2.90000E+01   3.64407E-03
  3.00000E+01   3.59177E-03
  3.50000E+01   3.32561E-03
  4.00000E+01   3.06691E-03
  4.50000E+01   2.83632E-03
  5.00000E+01   2.63232E-03
  6.00000E+01   2.29189E-03
  7.00000E+01   2.02269E-03
  8.00000E+01   1.80570E-03
  9.00000E+01   1.62871E-03
  1.00000E+02   1.48015E-03
  1.25000E+02   1.20191E-03
  1.50000E+02   1.00674E-03
  2.00000E+02   7.52742E-04
  2.50000E+02   5.95473E-04
  3.00000E+02   4.89232E-04
  3.50000E+02   4.12968E-04
  4.00000E+02   3.56049E-04
  4.50000E+02   3.11782E-04
  5.00000E+02   2.76627E-04
