# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=13) -> e + H2(c3Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00346 Hartrees
#
# Threshold: 7.38763E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.38763E+00   0.00000E+00
  7.50000E+00   3.87641E-07
  8.00000E+00   1.14921E-06
  8.50000E+00   1.26046E-05
  9.00000E+00   6.77924E-04
  9.50000E+00   1.31328E-01
  1.00000E+01   4.84024E-01
  1.05000E+01   5.70302E-01
  1.15000E+01   5.67839E-01
  1.20000E+01   5.42279E-01
  1.25000E+01   5.11975E-01
  1.30000E+01   4.80246E-01
  1.35000E+01   4.48823E-01
  1.40000E+01   4.18635E-01
  1.45000E+01   3.90093E-01
  1.50000E+01   3.63028E-01
  1.55000E+01   3.38328E-01
  1.60000E+01   3.15454E-01
  1.65000E+01   2.94301E-01
  1.70000E+01   2.74793E-01
  1.75000E+01   2.56823E-01
  1.80000E+01   2.40273E-01
  1.85000E+01   2.25030E-01
  1.90000E+01   2.10988E-01
  1.95000E+01   1.98036E-01
  2.00000E+01   1.86083E-01
  2.10000E+01   1.64835E-01
  2.20000E+01   1.46630E-01
  2.30000E+01   1.30965E-01
  2.40000E+01   1.17425E-01
  2.50000E+01   1.05656E-01
  2.60000E+01   9.53951E-02
  2.70000E+01   8.64189E-02
  2.80000E+01   7.85271E-02
  2.90000E+01   7.15656E-02
  3.00000E+01   6.54054E-02
  3.50000E+01   4.32534E-02
  4.00000E+01   3.00916E-02
  4.50000E+01   2.17866E-02
  5.00000E+01   1.62866E-02
  6.00000E+01   9.80851E-03
  7.00000E+01   6.36823E-03
  8.00000E+01   4.37140E-03
  9.00000E+01   3.13281E-03
  1.00000E+02   2.32257E-03
  1.25000E+02   1.23005E-03
  1.50000E+02   7.29106E-04
