# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=13) -> e + H2(d3Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.00346 Hartrees
#
# Threshold: 9.47225E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.47225E+00   0.00000E+00
  9.50000E+00   2.37660E-06
  1.00000E+01   1.19493E-06
  1.05000E+01   6.69533E-07
  1.15000E+01   3.09531E-02
  1.20000E+01   7.84768E-02
  1.25000E+01   9.44478E-02
  1.30000E+01   1.00980E-01
  1.35000E+01   1.02428E-01
  1.40000E+01   1.01146E-01
  1.45000E+01   9.89885E-02
  1.50000E+01   9.56021E-02
  1.55000E+01   9.14935E-02
  1.60000E+01   8.73168E-02
  1.65000E+01   8.33150E-02
  1.70000E+01   7.95233E-02
  1.75000E+01   7.58512E-02
  1.80000E+01   7.22406E-02
  1.85000E+01   6.87065E-02
  1.90000E+01   6.52819E-02
  1.95000E+01   6.20095E-02
  2.00000E+01   5.88776E-02
  2.10000E+01   5.30795E-02
  2.20000E+01   4.79026E-02
  2.30000E+01   4.33135E-02
  2.40000E+01   3.92447E-02
  2.50000E+01   3.56407E-02
  2.60000E+01   3.24440E-02
  2.70000E+01   2.96048E-02
  2.80000E+01   2.70779E-02
  2.90000E+01   2.48231E-02
  3.00000E+01   2.28083E-02
  3.50000E+01   1.54006E-02
  4.00000E+01   1.08766E-02
  4.50000E+01   7.96582E-03
  5.00000E+01   6.00681E-03
  6.00000E+01   3.66483E-03
  7.00000E+01   2.40236E-03
  8.00000E+01   1.66165E-03
  9.00000E+01   1.19815E-03
  1.00000E+02   8.93059E-04
  1.25000E+02   4.77591E-04
  1.50000E+02   2.85453E-04
