# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=14) -> e + H2(EF1Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.00064 Hartrees
#
# Threshold: 7.84031E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.84031E+00   0.00000E+00
  8.00000E+00   7.45506E-03
  8.50000E+00   3.15107E-01
  9.00000E+00   4.85840E-01
  9.50000E+00   5.99809E-01
  1.00000E+01   7.12583E-01
  1.05000E+01   7.88735E-01
  1.15000E+01   8.56972E-01
  1.20000E+01   8.66431E-01
  1.25000E+01   8.64519E-01
  1.30000E+01   8.55950E-01
  1.35000E+01   8.41793E-01
  1.40000E+01   8.23160E-01
  1.45000E+01   8.03326E-01
  1.50000E+01   7.81845E-01
  1.55000E+01   7.61073E-01
  1.60000E+01   7.40194E-01
  1.65000E+01   7.20697E-01
  1.70000E+01   7.01569E-01
  1.75000E+01   6.84200E-01
  1.80000E+01   6.67395E-01
  1.85000E+01   6.52370E-01
  1.90000E+01   6.37865E-01
  1.95000E+01   6.25013E-01
  2.00000E+01   6.12713E-01
  2.10000E+01   5.91344E-01
  2.20000E+01   5.73315E-01
  2.30000E+01   5.57710E-01
  2.40000E+01   5.44140E-01
  2.50000E+01   5.31379E-01
  2.60000E+01   5.19072E-01
  2.70000E+01   5.06982E-01
  2.80000E+01   4.95036E-01
  2.90000E+01   4.83142E-01
  3.00000E+01   4.71136E-01
  3.50000E+01   4.10503E-01
  4.00000E+01   3.54957E-01
  4.50000E+01   3.11363E-01
  5.00000E+01   2.77386E-01
  6.00000E+01   2.25862E-01
  7.00000E+01   1.90647E-01
  8.00000E+01   1.64026E-01
  9.00000E+01   1.43188E-01
  1.00000E+02   1.26718E-01
  1.25000E+02   9.86225E-02
  1.50000E+02   8.38362E-02
  2.00000E+02   6.94119E-02
  2.50000E+02   5.74715E-02
  3.00000E+02   4.72014E-02
  3.50000E+02   4.06254E-02
  4.00000E+02   3.54100E-02
  4.50000E+02   2.88247E-02
  5.00000E+02   2.12861E-02
