# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=14) -> e + H2(c3Pu,vf=17)
# Initial-state energy: -1.00064 Hartrees
# Final-state energy:   -0.62577 Hartrees
# Threshold: 1.02007E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02007E+01   0.00000E+00
  1.05000E+01   4.91547E-05
  1.15000E+01   1.96768E-04
  1.20000E+01   2.15921E-04
  1.25000E+01   2.21892E-04
  1.30000E+01   2.20743E-04
  1.35000E+01   2.15413E-04
  1.40000E+01   2.07684E-04
  1.45000E+01   1.98562E-04
  1.50000E+01   1.88474E-04
  1.55000E+01   1.77727E-04
  1.60000E+01   1.69658E-04
  1.65000E+01   1.60769E-04
  1.70000E+01   1.52139E-04
  1.75000E+01   1.43789E-04
  1.80000E+01   1.35828E-04
  1.85000E+01   1.28302E-04
  1.90000E+01   1.21226E-04
  1.95000E+01   1.14603E-04
  2.00000E+01   1.08351E-04
  2.10000E+01   9.71036E-05
  2.20000E+01   8.72127E-05
  2.30000E+01   7.85604E-05
  2.40000E+01   7.09951E-05
  2.50000E+01   6.42815E-05
  2.60000E+01   5.83620E-05
  2.70000E+01   5.31481E-05
  2.80000E+01   4.85174E-05
  2.90000E+01   4.44250E-05
  3.00000E+01   4.07508E-05
  3.50000E+01   2.74444E-05
  4.00000E+01   1.93581E-05
  4.50000E+01   1.41794E-05
  5.00000E+01   1.07028E-05
  6.00000E+01   6.55787E-06
  7.00000E+01   4.31873E-06
  8.00000E+01   2.99755E-06
  9.00000E+01   2.16908E-06
  1.00000E+02   1.62307E-06
  1.25000E+02   8.75314E-07
  1.50000E+02   5.30207E-07
