# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=2) -> e + H2(Bp1Su,vf=2)
# Initial-state energy: -1.12766 Hartrees
# Final-state energy:   -0.64477 Hartrees
# Threshold: 1.31403E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.31403E+01   0.00000E+00
  1.35000E+01   7.39686E-05
  1.40000E+01   1.48520E-04
  1.45000E+01   2.09598E-04
  1.50000E+01   2.62162E-04
  1.55000E+01   3.08873E-04
  1.60000E+01   3.50815E-04
  1.65000E+01   3.89005E-04
  1.70000E+01   4.24030E-04
  1.75000E+01   4.56337E-04
  1.80000E+01   4.86378E-04
  1.85000E+01   5.14495E-04
  1.90000E+01   5.39466E-04
  1.95000E+01   5.62844E-04
  2.00000E+01   5.84785E-04
  2.10000E+01   6.24579E-04
  2.20000E+01   6.59638E-04
  2.30000E+01   6.90552E-04
  2.40000E+01   7.17919E-04
  2.50000E+01   7.42161E-04
  2.60000E+01   7.63684E-04
  2.70000E+01   7.82770E-04
  2.80000E+01   7.99760E-04
  2.90000E+01   8.14657E-04
  3.00000E+01   8.28239E-04
  3.50000E+01   8.77794E-04
  4.00000E+01   9.06740E-04
  4.50000E+01   9.18642E-04
  5.00000E+01   9.20070E-04
  6.00000E+01   9.06279E-04
  7.00000E+01   8.81301E-04
  8.00000E+01   8.52209E-04
  9.00000E+01   8.22106E-04
  1.00000E+02   7.92154E-04
  1.25000E+02   7.23341E-04
  1.50000E+02   6.64118E-04
  2.00000E+02   5.70082E-04
  2.50000E+02   5.00449E-04
  3.00000E+02   4.46787E-04
  3.50000E+02   4.04322E-04
  4.00000E+02   3.69840E-04
  4.50000E+02   3.41121E-04
  5.00000E+02   3.17322E-04
