# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=2) -> e + H2(H1Sg,vf=36)
# Initial-state energy: -1.12766 Hartrees
# Final-state energy:   -0.57652 Hartrees
# Threshold: 1.49973E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.49973E+01   0.00000E+00
  1.50000E+01   5.76986E-08
  1.55000E+01   3.09560E-05
  1.60000E+01   4.92757E-05
  1.65000E+01   6.27076E-05
  1.70000E+01   7.35453E-05
  1.75000E+01   8.26903E-05
  1.80000E+01   9.05725E-05
  1.85000E+01   9.76425E-05
  1.90000E+01   1.03479E-04
  1.95000E+01   1.08844E-04
  2.00000E+01   1.13617E-04
  2.10000E+01   1.21716E-04
  2.20000E+01   1.28271E-04
  2.30000E+01   1.33603E-04
  2.40000E+01   1.37863E-04
  2.50000E+01   1.41282E-04
  2.60000E+01   1.44013E-04
  2.70000E+01   1.46165E-04
  2.80000E+01   1.47829E-04
  2.90000E+01   1.49085E-04
  3.00000E+01   1.49979E-04
  3.50000E+01   1.50662E-04
  4.00000E+01   1.47660E-04
  4.50000E+01   1.42877E-04
  5.00000E+01   1.37416E-04
  6.00000E+01   1.26016E-04
  7.00000E+01   1.15391E-04
  8.00000E+01   1.06004E-04
  9.00000E+01   9.78440E-05
  1.00000E+02   9.07928E-05
  1.25000E+02   7.71008E-05
  1.50000E+02   6.75341E-05
  2.00000E+02   5.56838E-05
  2.50000E+02   4.89383E-05
  3.00000E+02   4.44662E-05
  3.50000E+02   4.08636E-05
  4.00000E+02   3.73548E-05
  4.50000E+02   3.34567E-05
  5.00000E+02   2.89054E-05
