# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=2) -> e + H2(e3Su) (sum over all final vibrational levels)
# Initial-state energy: -1.12766 Hartrees
#
# Threshold: 1.22227E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.22227E+01   0.00000E+00
  1.25000E+01   8.64237E-03
  1.30000E+01   1.95853E-02
  1.35000E+01   3.33478E-02
  1.40000E+01   4.40267E-02
  1.45000E+01   4.94703E-02
  1.50000E+01   5.63803E-02
  1.55000E+01   6.54099E-02
  1.60000E+01   7.34332E-02
  1.65000E+01   7.86482E-02
  1.70000E+01   8.10662E-02
  1.75000E+01   8.14766E-02
  1.80000E+01   8.06201E-02
  1.85000E+01   7.89833E-02
  1.90000E+01   7.68857E-02
  1.95000E+01   7.45077E-02
  2.00000E+01   7.19815E-02
  2.10000E+01   6.67667E-02
  2.20000E+01   6.16128E-02
  2.30000E+01   5.67213E-02
  2.40000E+01   5.21583E-02
  2.50000E+01   4.79397E-02
  2.60000E+01   4.41270E-02
  2.70000E+01   4.07836E-02
  2.80000E+01   3.77323E-02
  2.90000E+01   3.48570E-02
  3.00000E+01   3.22462E-02
  3.50000E+01   2.23364E-02
  4.00000E+01   1.60586E-02
  4.50000E+01   1.19186E-02
  5.00000E+01   9.08444E-03
  6.00000E+01   5.62974E-03
  7.00000E+01   3.73140E-03
  8.00000E+01   2.60274E-03
  9.00000E+01   1.88918E-03
  1.00000E+02   1.41575E-03
  1.25000E+02   7.64813E-04
  1.50000E+02   4.60447E-04
