# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=3) -> e + H2(Bp1Su) (dissociative excitation)
# Initial-state energy: -1.11083 Hartrees
#
# Threshold: 1.32202E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.32202E+01   0.00000E+00
  1.35000E+01   2.27266E-04
  1.40000E+01   1.64319E-03
  1.45000E+01   2.87139E-03
  1.50000E+01   5.81739E-03
  1.55000E+01   9.84059E-03
  1.60000E+01   1.28238E-02
  1.65000E+01   1.55787E-02
  1.70000E+01   1.84296E-02
  1.75000E+01   2.12729E-02
  1.80000E+01   2.40580E-02
  1.85000E+01   2.67677E-02
  1.90000E+01   2.93952E-02
  1.95000E+01   3.19387E-02
  2.00000E+01   3.43976E-02
  2.10000E+01   3.90667E-02
  2.20000E+01   4.34231E-02
  2.30000E+01   4.74788E-02
  2.40000E+01   5.12531E-02
  2.50000E+01   5.47680E-02
  2.60000E+01   5.80394E-02
  2.70000E+01   6.10841E-02
  2.80000E+01   6.39182E-02
  2.90000E+01   6.65562E-02
  3.00000E+01   6.90117E-02
  3.50000E+01   7.89563E-02
  4.00000E+01   8.58824E-02
  4.50000E+01   9.06040E-02
  5.00000E+01   9.37537E-02
  6.00000E+01   9.68996E-02
  7.00000E+01   9.74240E-02
  8.00000E+01   9.64818E-02
  9.00000E+01   9.47132E-02
  1.00000E+02   9.24912E-02
  1.25000E+02   8.62083E-02
  1.50000E+02   7.99502E-02
  2.00000E+02   6.90474E-02
  2.50000E+02   6.04219E-02
  3.00000E+02   5.35741E-02
  3.50000E+02   4.80673E-02
  4.00000E+02   4.35629E-02
  4.50000E+02   3.98254E-02
  5.00000E+02   3.66654E-02
