# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=3) -> e + H2(Bp1Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.11083 Hartrees
#
# Threshold: 1.22347E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.22347E+01   0.00000E+00
  1.25000E+01   7.86896E-03
  1.30000E+01   2.15471E-02
  1.35000E+01   3.47560E-02
  1.40000E+01   4.53738E-02
  1.45000E+01   5.44634E-02
  1.50000E+01   6.24664E-02
  1.55000E+01   6.96277E-02
  1.60000E+01   7.61080E-02
  1.65000E+01   8.20225E-02
  1.70000E+01   8.74564E-02
  1.75000E+01   9.24781E-02
  1.80000E+01   9.71004E-02
  1.85000E+01   1.01366E-01
  1.90000E+01   1.05337E-01
  1.95000E+01   1.09041E-01
  2.00000E+01   1.12504E-01
  2.10000E+01   1.18785E-01
  2.20000E+01   1.24316E-01
  2.30000E+01   1.29200E-01
  2.40000E+01   1.33527E-01
  2.50000E+01   1.37367E-01
  2.60000E+01   1.40780E-01
  2.70000E+01   1.43813E-01
  2.80000E+01   1.46505E-01
  2.90000E+01   1.48913E-01
  3.00000E+01   1.51073E-01
  3.50000E+01   1.58704E-01
  4.00000E+01   1.62571E-01
  4.50000E+01   1.63998E-01
  5.00000E+01   1.63844E-01
  6.00000E+01   1.60864E-01
  7.00000E+01   1.56051E-01
  8.00000E+01   1.50510E-01
  9.00000E+01   1.44781E-01
  1.00000E+02   1.39134E-01
  1.25000E+02   1.26068E-01
  1.50000E+02   1.14811E-01
  2.00000E+02   9.70771E-02
  2.50000E+02   8.40044E-02
  3.00000E+02   7.40409E-02
  3.50000E+02   6.62182E-02
  4.00000E+02   5.99196E-02
  4.50000E+02   5.47485E-02
  5.00000E+02   5.04217E-02
