# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=3) -> e + H2(i3Pg) (sum over all final vibrational levels)
# Initial-state energy: -1.11083 Hartrees
#
# Threshold: 1.24184E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.24184E+01   0.00000E+00
  1.25000E+01   1.03973E-03
  1.30000E+01   6.93867E-03
  1.35000E+01   1.15841E-02
  1.40000E+01   1.55421E-02
  1.45000E+01   1.86110E-02
  1.50000E+01   2.00368E-02
  1.55000E+01   2.16275E-02
  1.60000E+01   2.33394E-02
  1.65000E+01   2.45228E-02
  1.70000E+01   2.50264E-02
  1.75000E+01   2.49339E-02
  1.80000E+01   2.44361E-02
  1.85000E+01   2.36984E-02
  1.90000E+01   2.28750E-02
  1.95000E+01   2.20301E-02
  2.00000E+01   2.11401E-02
  2.10000E+01   1.93718E-02
  2.20000E+01   1.76914E-02
  2.30000E+01   1.61426E-02
  2.40000E+01   1.47385E-02
  2.50000E+01   1.34717E-02
  2.60000E+01   1.23318E-02
  2.70000E+01   1.13072E-02
  2.80000E+01   1.03856E-02
  2.90000E+01   9.55457E-03
  3.00000E+01   8.80854E-03
  3.50000E+01   6.02127E-03
  4.00000E+01   4.28657E-03
  4.50000E+01   3.15909E-03
  5.00000E+01   2.39497E-03
  6.00000E+01   1.47356E-03
  7.00000E+01   9.72070E-04
  8.00000E+01   6.75854E-04
  9.00000E+01   4.89443E-04
  1.00000E+02   3.66124E-04
  1.25000E+02   1.97267E-04
  1.50000E+02   1.18554E-04
