# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(B1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.09503 Hartrees
#
# Threshold: 9.29159E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.29159E+00   0.00000E+00
  9.50000E+00   3.86847E-02
  1.00000E+01   1.71482E-01
  1.05000E+01   3.20193E-01
  1.15000E+01   6.01671E-01
  1.20000E+01   7.22485E-01
  1.25000E+01   8.33090E-01
  1.30000E+01   9.31945E-01
  1.35000E+01   1.02205E+00
  1.40000E+01   1.10587E+00
  1.45000E+01   1.18421E+00
  1.50000E+01   1.25728E+00
  1.55000E+01   1.32556E+00
  1.60000E+01   1.38925E+00
  1.65000E+01   1.44865E+00
  1.70000E+01   1.50415E+00
  1.75000E+01   1.55614E+00
  1.80000E+01   1.60483E+00
  1.85000E+01   1.65052E+00
  1.90000E+01   1.69345E+00
  1.95000E+01   1.73375E+00
  2.00000E+01   1.77170E+00
  2.10000E+01   1.84119E+00
  2.20000E+01   1.90300E+00
  2.30000E+01   1.95808E+00
  2.40000E+01   2.00725E+00
  2.50000E+01   2.05118E+00
  2.60000E+01   2.09045E+00
  2.70000E+01   2.12554E+00
  2.80000E+01   2.15687E+00
  2.90000E+01   2.18486E+00
  3.00000E+01   2.20975E+00
  3.50000E+01   2.29768E+00
  4.00000E+01   2.34146E+00
  4.50000E+01   2.35649E+00
  5.00000E+01   2.35243E+00
  6.00000E+01   2.30987E+00
  7.00000E+01   2.24308E+00
  8.00000E+01   2.16616E+00
  9.00000E+01   2.08625E+00
  1.00000E+02   2.00706E+00
  1.25000E+02   1.82236E+00
  1.50000E+02   1.66201E+00
  2.00000E+02   1.40767E+00
  2.50000E+02   1.21955E+00
  3.00000E+02   1.07636E+00
  3.50000E+02   9.64244E-01
  4.00000E+02   8.74155E-01
  4.50000E+02   8.00119E-01
  5.00000E+02   7.38031E-01
