# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(C1Pu,vf=4)
# Initial-state energy: -1.09503 Hartrees
# Final-state energy:   -0.67438 Hartrees
# Threshold: 1.14464E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.14464E+01   0.00000E+00
  1.15000E+01   2.08731E-08
  1.20000E+01   1.81498E-03
  1.25000E+01   4.11015E-03
  1.30000E+01   6.37132E-03
  1.35000E+01   8.51596E-03
  1.40000E+01   1.05201E-02
  1.45000E+01   1.24113E-02
  1.50000E+01   1.41952E-02
  1.55000E+01   1.58812E-02
  1.60000E+01   1.74773E-02
  1.65000E+01   1.89909E-02
  1.70000E+01   2.04316E-02
  1.75000E+01   2.17965E-02
  1.80000E+01   2.30969E-02
  1.85000E+01   2.43364E-02
  1.90000E+01   2.55212E-02
  1.95000E+01   2.66576E-02
  2.00000E+01   2.77450E-02
  2.10000E+01   2.97839E-02
  2.20000E+01   3.16601E-02
  2.30000E+01   3.33879E-02
  2.40000E+01   3.49838E-02
  2.50000E+01   3.64599E-02
  2.60000E+01   3.78259E-02
  2.70000E+01   3.90918E-02
  2.80000E+01   4.02644E-02
  2.90000E+01   4.13534E-02
  3.00000E+01   4.23659E-02
  3.50000E+01   4.64781E-02
  4.00000E+01   4.93739E-02
  4.50000E+01   5.13611E-02
  5.00000E+01   5.26860E-02
  6.00000E+01   5.39509E-02
  7.00000E+01   5.39985E-02
  8.00000E+01   5.33211E-02
  9.00000E+01   5.22104E-02
  1.00000E+02   5.08544E-02
  1.25000E+02   4.70707E-02
  1.50000E+02   4.33546E-02
  2.00000E+02   3.70587E-02
  2.50000E+02   3.23788E-02
  3.00000E+02   2.89372E-02
  3.50000E+02   2.62981E-02
  4.00000E+02   2.41478E-02
  4.50000E+02   2.22052E-02
  5.00000E+02   2.03000E-02
