# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(C1Pu) (dissociative excitation)
# Initial-state energy: -1.08025 Hartrees
#
# Threshold: 1.23880E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.23880E+01   0.00000E+00
  1.25000E+01   4.72661E-05
  1.30000E+01   8.81406E-04
  1.35000E+01   2.56879E-03
  1.40000E+01   6.35351E-03
  1.45000E+01   1.11367E-02
  1.50000E+01   1.63817E-02
  1.55000E+01   2.39240E-02
  1.60000E+01   3.21881E-02
  1.65000E+01   4.03011E-02
  1.70000E+01   4.81423E-02
  1.75000E+01   5.57294E-02
  1.80000E+01   6.30977E-02
  1.85000E+01   7.01969E-02
  1.90000E+01   7.70608E-02
  1.95000E+01   8.36928E-02
  2.00000E+01   9.01094E-02
  2.10000E+01   1.02305E-01
  2.20000E+01   1.13707E-01
  2.30000E+01   1.24379E-01
  2.40000E+01   1.34376E-01
  2.50000E+01   1.43749E-01
  2.60000E+01   1.52543E-01
  2.70000E+01   1.60800E-01
  2.80000E+01   1.68556E-01
  2.90000E+01   1.75846E-01
  3.00000E+01   1.82700E-01
  3.50000E+01   2.11380E-01
  4.00000E+01   2.32579E-01
  4.50000E+01   2.48187E-01
  5.00000E+01   2.59566E-01
  6.00000E+01   2.73149E-01
  7.00000E+01   2.78645E-01
  8.00000E+01   2.79107E-01
  9.00000E+01   2.76409E-01
  1.00000E+02   2.71747E-01
  1.25000E+02   2.55941E-01
  1.50000E+02   2.38490E-01
  2.00000E+02   2.06471E-01
  2.50000E+02   1.80862E-01
  3.00000E+02   1.60969E-01
  3.50000E+02   1.45357E-01
  4.00000E+02   1.32816E-01
  4.50000E+02   1.22336E-01
  5.00000E+02   1.13227E-01
