# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(D1Pu,vf=4)
# Initial-state energy: -1.08025 Hartrees
# Final-state energy:   -0.61291 Hartrees
# Threshold: 1.27170E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.27170E+01   0.00000E+00
  1.30000E+01   1.46177E-04
  1.35000E+01   6.43396E-04
  1.40000E+01   1.12446E-03
  1.45000E+01   1.58800E-03
  1.50000E+01   2.02496E-03
  1.55000E+01   2.43976E-03
  1.60000E+01   2.83312E-03
  1.65000E+01   3.21499E-03
  1.70000E+01   3.57932E-03
  1.75000E+01   3.92822E-03
  1.80000E+01   4.26317E-03
  1.85000E+01   4.58580E-03
  1.90000E+01   4.89697E-03
  1.95000E+01   5.19430E-03
  2.00000E+01   5.48177E-03
  2.10000E+01   6.02495E-03
  2.20000E+01   6.53889E-03
  2.30000E+01   7.01699E-03
  2.40000E+01   7.46594E-03
  2.50000E+01   7.88989E-03
  2.60000E+01   8.28944E-03
  2.70000E+01   8.66629E-03
  2.80000E+01   9.02255E-03
  2.90000E+01   9.35899E-03
  3.00000E+01   9.67714E-03
  3.50000E+01   1.10343E-02
  4.00000E+01   1.20750E-02
  4.50000E+01   1.28713E-02
  5.00000E+01   1.34755E-02
  6.00000E+01   1.42513E-02
  7.00000E+01   1.46175E-02
  8.00000E+01   1.47005E-02
  9.00000E+01   1.46000E-02
  1.00000E+02   1.43747E-02
  1.25000E+02   1.35094E-02
  1.50000E+02   1.24811E-02
  2.00000E+02   1.05245E-02
  2.50000E+02   8.95522E-03
  3.00000E+02   7.78047E-03
  3.50000E+02   6.91009E-03
  4.00000E+02   6.26116E-03
  4.50000E+02   5.76684E-03
  5.00000E+02   5.37572E-03
