# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(GK1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.08025 Hartrees
#
# Threshold: 1.14961E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.14961E+01   0.00000E+00
  1.15000E+01   2.46041E-08
  1.20000E+01   3.51657E-03
  1.25000E+01   9.98817E-03
  1.30000E+01   1.56264E-02
  1.35000E+01   2.12168E-02
  1.40000E+01   2.51227E-02
  1.45000E+01   2.85369E-02
  1.50000E+01   3.07927E-02
  1.55000E+01   3.26600E-02
  1.60000E+01   3.47622E-02
  1.65000E+01   3.72774E-02
  1.70000E+01   3.96968E-02
  1.75000E+01   4.17815E-02
  1.80000E+01   4.37414E-02
  1.85000E+01   4.55598E-02
  1.90000E+01   4.70565E-02
  1.95000E+01   4.82428E-02
  2.00000E+01   4.91983E-02
  2.10000E+01   5.05136E-02
  2.20000E+01   5.13208E-02
  2.30000E+01   5.17630E-02
  2.40000E+01   5.19460E-02
  2.50000E+01   5.19701E-02
  2.60000E+01   5.18644E-02
  2.70000E+01   5.16521E-02
  2.80000E+01   5.13417E-02
  2.90000E+01   5.09666E-02
  3.00000E+01   5.05236E-02
  3.50000E+01   4.78868E-02
  4.00000E+01   4.51224E-02
  4.50000E+01   4.26300E-02
  5.00000E+01   4.04764E-02
  6.00000E+01   3.70125E-02
  7.00000E+01   3.42692E-02
  8.00000E+01   3.19648E-02
  9.00000E+01   2.99441E-02
  1.00000E+02   2.81288E-02
  1.25000E+02   2.42619E-02
  1.50000E+02   2.11452E-02
  2.00000E+02   1.65622E-02
  2.50000E+02   1.34575E-02
  3.00000E+02   1.12112E-02
  3.50000E+02   9.67672E-03
  4.00000E+02   8.44505E-03
  4.50000E+02   7.53219E-03
  5.00000E+02   6.84277E-03
