# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(H1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.08025 Hartrees
#
# Threshold: 1.17180E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.17180E+01   0.00000E+00
  1.20000E+01   1.41030E-04
  1.25000E+01   5.06453E-04
  1.30000E+01   3.61484E-03
  1.35000E+01   7.95476E-03
  1.40000E+01   1.24386E-02
  1.45000E+01   1.72473E-02
  1.50000E+01   2.15268E-02
  1.55000E+01   2.50233E-02
  1.60000E+01   2.83425E-02
  1.65000E+01   3.14804E-02
  1.70000E+01   3.42618E-02
  1.75000E+01   3.67169E-02
  1.80000E+01   3.88495E-02
  1.85000E+01   4.06869E-02
  1.90000E+01   4.22904E-02
  1.95000E+01   4.36916E-02
  2.00000E+01   4.49162E-02
  2.10000E+01   4.69329E-02
  2.20000E+01   4.84921E-02
  2.30000E+01   4.96902E-02
  2.40000E+01   5.05995E-02
  2.50000E+01   5.12729E-02
  2.60000E+01   5.17551E-02
  2.70000E+01   5.20876E-02
  2.80000E+01   5.22895E-02
  2.90000E+01   5.23790E-02
  3.00000E+01   5.23747E-02
  3.50000E+01   5.14283E-02
  4.00000E+01   4.96445E-02
  4.50000E+01   4.75282E-02
  5.00000E+01   4.53256E-02
  6.00000E+01   4.10856E-02
  7.00000E+01   3.73242E-02
  8.00000E+01   3.40765E-02
  9.00000E+01   3.13024E-02
  1.00000E+02   2.89340E-02
  1.25000E+02   2.43818E-02
  1.50000E+02   2.12045E-02
  2.00000E+02   1.72218E-02
  2.50000E+02   1.49132E-02
  3.00000E+02   1.33926E-02
  3.50000E+02   1.22285E-02
  4.00000E+02   1.11898E-02
  4.50000E+02   1.01045E-02
  5.00000E+02   8.88440E-03
