# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(a3Sg,vf=17)
# Initial-state energy: -1.08025 Hartrees
# Final-state energy:   -0.62529 Hartrees
# Threshold: 1.23801E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.23801E+01   0.00000E+00
  1.25000E+01   2.87336E-06
  1.30000E+01   1.09116E-05
  1.35000E+01   1.35443E-05
  1.40000E+01   1.47354E-05
  1.45000E+01   1.51167E-05
  1.50000E+01   1.48209E-05
  1.55000E+01   1.41590E-05
  1.60000E+01   1.34729E-05
  1.65000E+01   1.30153E-05
  1.70000E+01   1.24060E-05
  1.75000E+01   1.18181E-05
  1.80000E+01   1.11511E-05
  1.85000E+01   1.04697E-05
  1.90000E+01   9.81223E-06
  1.95000E+01   9.17197E-06
  2.00000E+01   8.62683E-06
  2.10000E+01   7.61947E-06
  2.20000E+01   6.73272E-06
  2.30000E+01   5.94891E-06
  2.40000E+01   5.27319E-06
  2.50000E+01   4.68381E-06
  2.60000E+01   4.17223E-06
  2.70000E+01   3.72463E-06
  2.80000E+01   3.33799E-06
  2.90000E+01   2.99885E-06
  3.00000E+01   2.70502E-06
  3.50000E+01   1.65048E-06
  4.00000E+01   1.09498E-06
  4.50000E+01   7.71189E-07
  5.00000E+01   5.64641E-07
  6.00000E+01   3.27529E-07
  7.00000E+01   2.07021E-07
  8.00000E+01   1.39203E-07
  9.00000E+01   9.78876E-08
  1.00000E+02   7.17342E-08
  1.25000E+02   3.67490E-08
  1.50000E+02   2.15085E-08
