# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(e3Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.08025 Hartrees
#
# Threshold: 1.09325E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.09325E+01   0.00000E+00
  1.15000E+01   1.35503E-02
  1.20000E+01   2.78399E-02
  1.25000E+01   3.82010E-02
  1.30000E+01   4.44983E-02
  1.35000E+01   4.74037E-02
  1.40000E+01   4.84640E-02
  1.45000E+01   4.84781E-02
  1.50000E+01   4.78393E-02
  1.55000E+01   4.67735E-02
  1.60000E+01   4.54191E-02
  1.65000E+01   4.38616E-02
  1.70000E+01   4.21905E-02
  1.75000E+01   4.04709E-02
  1.80000E+01   3.87632E-02
  1.85000E+01   3.70748E-02
  1.90000E+01   3.54184E-02
  1.95000E+01   3.38152E-02
  2.00000E+01   3.22729E-02
  2.10000E+01   2.93815E-02
  2.20000E+01   2.67552E-02
  2.30000E+01   2.43871E-02
  2.40000E+01   2.22550E-02
  2.50000E+01   2.03433E-02
  2.60000E+01   1.86634E-02
  2.70000E+01   1.71493E-02
  2.80000E+01   1.57820E-02
  2.90000E+01   1.45494E-02
  3.00000E+01   1.34347E-02
  3.50000E+01   9.25272E-03
  4.00000E+01   6.63702E-03
  4.50000E+01   4.92197E-03
  5.00000E+01   3.75315E-03
  6.00000E+01   2.32994E-03
  7.00000E+01   1.54790E-03
  8.00000E+01   1.08217E-03
  9.00000E+01   7.87191E-04
  1.00000E+02   5.91268E-04
  1.25000E+02   3.20838E-04
  1.50000E+02   1.93989E-04
