# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(B1Su) (sum over all bound final vibrational levels)
# Initial-state energy: -1.06652 Hartrees
#
# Threshold: 8.51584E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.51584E+00   0.00000E+00
  9.00000E+00   1.13771E-01
  9.50000E+00   3.56374E-01
  1.00000E+01   5.95227E-01
  1.05000E+01   8.12046E-01
  1.15000E+01   1.18181E+00
  1.20000E+01   1.33075E+00
  1.25000E+01   1.46363E+00
  1.30000E+01   1.57895E+00
  1.35000E+01   1.68133E+00
  1.40000E+01   1.77311E+00
  1.45000E+01   1.85588E+00
  1.50000E+01   1.93093E+00
  1.55000E+01   1.99923E+00
  1.60000E+01   2.06163E+00
  1.65000E+01   2.11883E+00
  1.70000E+01   2.17135E+00
  1.75000E+01   2.21969E+00
  1.80000E+01   2.26430E+00
  1.85000E+01   2.30554E+00
  1.90000E+01   2.34375E+00
  1.95000E+01   2.37921E+00
  2.00000E+01   2.41213E+00
  2.10000E+01   2.47120E+00
  2.20000E+01   2.52236E+00
  2.30000E+01   2.56674E+00
  2.40000E+01   2.60527E+00
  2.50000E+01   2.63871E+00
  2.60000E+01   2.66768E+00
  2.70000E+01   2.69271E+00
  2.80000E+01   2.71425E+00
  2.90000E+01   2.73274E+00
  3.00000E+01   2.74839E+00
  3.50000E+01   2.79434E+00
  4.00000E+01   2.80232E+00
  4.50000E+01   2.78681E+00
  5.00000E+01   2.75646E+00
  6.00000E+01   2.67065E+00
  7.00000E+01   2.56944E+00
  8.00000E+01   2.46421E+00
  9.00000E+01   2.36044E+00
  1.00000E+02   2.26074E+00
  1.25000E+02   2.03540E+00
  1.50000E+02   1.84487E+00
  2.00000E+02   1.54981E+00
  2.50000E+02   1.33678E+00
  3.00000E+02   1.17755E+00
  3.50000E+02   1.05428E+00
  4.00000E+02   9.55440E-01
  4.50000E+02   8.73435E-01
  5.00000E+02   8.03067E-01
