# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(C1Pu) (sum over all bound final vibrational levels)
# Initial-state energy: -1.06652 Hartrees
#
# Threshold: 9.62389E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.62389E+00   0.00000E+00
  1.00000E+01   5.72075E-05
  1.05000E+01   2.05225E-02
  1.15000E+01   1.36683E-01
  1.20000E+01   1.98110E-01
  1.25000E+01   2.56803E-01
  1.30000E+01   3.11517E-01
  1.35000E+01   3.62512E-01
  1.40000E+01   4.10235E-01
  1.45000E+01   4.55045E-01
  1.50000E+01   4.97262E-01
  1.55000E+01   5.37140E-01
  1.60000E+01   5.74917E-01
  1.65000E+01   6.10660E-01
  1.70000E+01   6.44685E-01
  1.75000E+01   6.77100E-01
  1.80000E+01   7.08056E-01
  1.85000E+01   7.37578E-01
  1.90000E+01   7.65778E-01
  1.95000E+01   7.92758E-01
  2.00000E+01   8.18590E-01
  2.10000E+01   8.67103E-01
  2.20000E+01   9.11795E-01
  2.30000E+01   9.53049E-01
  2.40000E+01   9.91220E-01
  2.50000E+01   1.02659E+00
  2.60000E+01   1.05941E+00
  2.70000E+01   1.08989E+00
  2.80000E+01   1.11823E+00
  2.90000E+01   1.14462E+00
  3.00000E+01   1.16916E+00
  3.50000E+01   1.26880E+00
  4.00000E+01   1.33843E+00
  4.50000E+01   1.38620E+00
  5.00000E+01   1.41770E+00
  6.00000E+01   1.44604E+00
  7.00000E+01   1.44442E+00
  8.00000E+01   1.42468E+00
  9.00000E+01   1.39405E+00
  1.00000E+02   1.35710E+00
  1.25000E+02   1.25384E+00
  1.50000E+02   1.15096E+00
  2.00000E+02   9.73160E-01
  2.50000E+02   8.37157E-01
  3.00000E+02   7.35054E-01
  3.50000E+02   6.57700E-01
  4.00000E+02   5.97995E-01
  4.50000E+02   5.50213E-01
  5.00000E+02   5.10495E-01
