# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(EF1Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.06652 Hartrees
#
# Threshold: 9.63290E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.63290E+00   0.00000E+00
  1.00000E+01   5.94481E-04
  1.05000E+01   6.95765E-03
  1.15000E+01   3.24971E-02
  1.20000E+01   5.05448E-02
  1.25000E+01   7.44894E-02
  1.30000E+01   1.03998E-01
  1.35000E+01   1.29706E-01
  1.40000E+01   1.49265E-01
  1.45000E+01   1.66808E-01
  1.50000E+01   1.83972E-01
  1.55000E+01   1.99821E-01
  1.60000E+01   2.11037E-01
  1.65000E+01   2.18408E-01
  1.70000E+01   2.24639E-01
  1.75000E+01   2.29132E-01
  1.80000E+01   2.31825E-01
  1.85000E+01   2.33307E-01
  1.90000E+01   2.34000E-01
  1.95000E+01   2.34049E-01
  2.00000E+01   2.33487E-01
  2.10000E+01   2.31349E-01
  2.20000E+01   2.29339E-01
  2.30000E+01   2.27359E-01
  2.40000E+01   2.25147E-01
  2.50000E+01   2.22751E-01
  2.60000E+01   2.20424E-01
  2.70000E+01   2.18061E-01
  2.80000E+01   2.15796E-01
  2.90000E+01   2.13664E-01
  3.00000E+01   2.11708E-01
  3.50000E+01   2.01787E-01
  4.00000E+01   1.95572E-01
  4.50000E+01   1.95781E-01
  5.00000E+01   1.96990E-01
  6.00000E+01   1.93820E-01
  7.00000E+01   1.80776E-01
  8.00000E+01   1.68819E-01
  9.00000E+01   1.58570E-01
  1.00000E+02   1.49534E-01
  1.25000E+02   1.31620E-01
  1.50000E+02   1.17849E-01
  2.00000E+02   9.64708E-02
  2.50000E+02   7.70859E-02
  3.00000E+02   6.19030E-02
  3.50000E+02   5.35197E-02
  4.00000E+02   4.82850E-02
  4.50000E+02   4.33025E-02
  5.00000E+02   3.94787E-02
