# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(EF1Sg,vf=14)
# Initial-state energy: -1.06652 Hartrees
# Final-state energy:   -0.66848 Hartrees
# Threshold: 1.08312E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.08312E+01   0.00000E+00
  1.15000E+01   5.33884E-04
  1.20000E+01   7.69628E-04
  1.25000E+01   7.19797E-04
  1.30000E+01   6.58716E-04
  1.35000E+01   6.13616E-04
  1.40000E+01   5.91115E-04
  1.45000E+01   6.00338E-04
  1.50000E+01   5.84185E-04
  1.55000E+01   5.93492E-04
  1.60000E+01   6.09525E-04
  1.65000E+01   6.36401E-04
  1.70000E+01   6.70369E-04
  1.75000E+01   6.99912E-04
  1.80000E+01   7.16001E-04
  1.85000E+01   7.25962E-04
  1.90000E+01   7.36672E-04
  1.95000E+01   7.47422E-04
  2.00000E+01   7.58244E-04
  2.10000E+01   7.69174E-04
  2.20000E+01   7.64662E-04
  2.30000E+01   7.61522E-04
  2.40000E+01   7.63485E-04
  2.50000E+01   7.65607E-04
  2.60000E+01   7.65487E-04
  2.70000E+01   7.63254E-04
  2.80000E+01   7.58864E-04
  2.90000E+01   7.54666E-04
  3.00000E+01   7.50187E-04
  3.50000E+01   7.00195E-04
  4.00000E+01   6.57186E-04
  4.50000E+01   6.67601E-04
  5.00000E+01   6.60144E-04
  6.00000E+01   6.47723E-04
  7.00000E+01   5.97018E-04
  8.00000E+01   5.53878E-04
  9.00000E+01   5.14531E-04
  1.00000E+02   4.79917E-04
  1.25000E+02   4.14400E-04
  1.50000E+02   3.64642E-04
  2.00000E+02   2.94124E-04
  2.50000E+02   2.31504E-04
  3.00000E+02   1.89293E-04
  3.50000E+02   1.70798E-04
  4.00000E+02   1.48295E-04
  4.50000E+02   1.22061E-04
  5.00000E+02   1.20841E-04
