# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(d3Pu,vf=6)
# Initial-state energy: -1.06652 Hartrees
# Final-state energy:   -0.60228 Hartrees
# Threshold: 1.26328E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.26328E+01   0.00000E+00
  1.30000E+01   5.02947E-03
  1.35000E+01   6.34293E-03
  1.40000E+01   6.70542E-03
  1.45000E+01   6.74640E-03
  1.50000E+01   6.62116E-03
  1.55000E+01   6.41076E-03
  1.60000E+01   6.15759E-03
  1.65000E+01   5.88644E-03
  1.70000E+01   5.60612E-03
  1.75000E+01   5.34097E-03
  1.80000E+01   5.03373E-03
  1.85000E+01   4.75497E-03
  1.90000E+01   4.49414E-03
  1.95000E+01   4.24975E-03
  2.00000E+01   4.02038E-03
  2.10000E+01   3.60240E-03
  2.20000E+01   3.23484E-03
  2.30000E+01   2.91267E-03
  2.40000E+01   2.62925E-03
  2.50000E+01   2.37982E-03
  2.60000E+01   2.15990E-03
  2.70000E+01   1.96557E-03
  2.80000E+01   1.79312E-03
  2.90000E+01   1.64023E-03
  3.00000E+01   1.50372E-03
  3.50000E+01   1.00621E-03
  4.00000E+01   7.05611E-04
  4.50000E+01   5.13877E-04
  5.00000E+01   3.85875E-04
  6.00000E+01   2.33740E-04
  7.00000E+01   1.52383E-04
  8.00000E+01   1.04927E-04
  9.00000E+01   7.53585E-05
  1.00000E+02   5.60010E-05
  1.25000E+02   2.97455E-05
  1.50000E+02   1.77007E-05
