# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(j3Dg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.06652 Hartrees
#
# Threshold: 1.12709E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.12709E+01   0.00000E+00
  1.15000E+01   2.42070E-05
  1.20000E+01   6.37529E-03
  1.25000E+01   1.36446E-02
  1.30000E+01   1.71925E-02
  1.35000E+01   1.94645E-02
  1.40000E+01   2.04729E-02
  1.45000E+01   2.08631E-02
  1.50000E+01   2.06885E-02
  1.55000E+01   2.02410E-02
  1.60000E+01   1.96345E-02
  1.65000E+01   1.89483E-02
  1.70000E+01   1.81270E-02
  1.75000E+01   1.72865E-02
  1.80000E+01   1.64690E-02
  1.85000E+01   1.56862E-02
  1.90000E+01   1.49448E-02
  1.95000E+01   1.42262E-02
  2.00000E+01   1.35401E-02
  2.10000E+01   1.22631E-02
  2.20000E+01   1.11079E-02
  2.30000E+01   1.00745E-02
  2.40000E+01   9.15386E-03
  2.50000E+01   8.33431E-03
  2.60000E+01   7.60392E-03
  2.70000E+01   6.95310E-03
  2.80000E+01   6.37132E-03
  2.90000E+01   5.85051E-03
  3.00000E+01   5.38416E-03
  3.50000E+01   3.65869E-03
  4.00000E+01   2.59486E-03
  4.50000E+01   1.90761E-03
  5.00000E+01   1.44383E-03
  6.00000E+01   8.87870E-04
  7.00000E+01   5.85645E-04
  8.00000E+01   4.07064E-04
  9.00000E+01   2.94685E-04
  1.00000E+02   2.20426E-04
  1.25000E+02   1.18648E-04
  1.50000E+02   7.13027E-05
