# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(I1Pg,vf=1)
# Initial-state energy: -1.05384 Hartrees
# Final-state energy:   -0.64482 Hartrees
# Threshold: 1.11301E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.11301E+01   0.00000E+00
  1.15000E+01   1.95482E-04
  1.20000E+01   4.81869E-04
  1.25000E+01   7.24602E-04
  1.30000E+01   9.18294E-04
  1.35000E+01   1.07294E-03
  1.40000E+01   1.20040E-03
  1.45000E+01   1.30159E-03
  1.50000E+01   1.38283E-03
  1.55000E+01   1.44825E-03
  1.60000E+01   1.50149E-03
  1.65000E+01   1.54480E-03
  1.70000E+01   1.57991E-03
  1.75000E+01   1.60856E-03
  1.80000E+01   1.63134E-03
  1.85000E+01   1.64974E-03
  1.90000E+01   1.66463E-03
  1.95000E+01   1.67623E-03
  2.00000E+01   1.68443E-03
  2.10000E+01   1.69499E-03
  2.20000E+01   1.69802E-03
  2.30000E+01   1.69614E-03
  2.40000E+01   1.69027E-03
  2.50000E+01   1.68117E-03
  2.60000E+01   1.67013E-03
  2.70000E+01   1.65711E-03
  2.80000E+01   1.64274E-03
  2.90000E+01   1.62758E-03
  3.00000E+01   1.61152E-03
  3.50000E+01   1.52745E-03
  4.00000E+01   1.44533E-03
  4.50000E+01   1.36869E-03
  5.00000E+01   1.29900E-03
  6.00000E+01   1.17824E-03
  7.00000E+01   1.07853E-03
  8.00000E+01   9.94581E-04
  9.00000E+01   9.23081E-04
  1.00000E+02   8.61268E-04
  1.25000E+02   7.37411E-04
  1.50000E+02   6.43393E-04
  2.00000E+02   5.08337E-04
  2.50000E+02   4.15055E-04
  3.00000E+02   3.47092E-04
  3.50000E+02   2.96652E-04
  4.00000E+02   2.59213E-04
  4.50000E+02   2.31192E-04
  5.00000E+02   2.11764E-04
