# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(g3Sg,vf=19)
# Initial-state energy: -1.05384 Hartrees
# Final-state energy:   -0.55556 Hartrees
# Threshold: 1.35588E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.35588E+01   0.00000E+00
  1.40000E+01   1.12591E-06
  1.45000E+01   1.41221E-06
  1.50000E+01   1.46396E-06
  1.55000E+01   1.43012E-06
  1.60000E+01   1.35830E-06
  1.65000E+01   1.27160E-06
  1.70000E+01   1.18129E-06
  1.75000E+01   1.09289E-06
  1.80000E+01   1.00937E-06
  1.85000E+01   9.31397E-07
  1.90000E+01   8.59727E-07
  1.95000E+01   7.94194E-07
  2.00000E+01   7.34786E-07
  2.10000E+01   6.31987E-07
  2.20000E+01   5.46834E-07
  2.30000E+01   4.76492E-07
  2.40000E+01   4.16394E-07
  2.50000E+01   3.63774E-07
  2.60000E+01   3.19765E-07
  2.70000E+01   2.82663E-07
  2.80000E+01   2.51172E-07
  2.90000E+01   2.24293E-07
  3.00000E+01   2.01227E-07
  3.50000E+01   1.23216E-07
  4.00000E+01   8.10066E-08
  4.50000E+01   5.63853E-08
  5.00000E+01   4.07677E-08
  6.00000E+01   2.33751E-08
  7.00000E+01   1.45556E-08
  8.00000E+01   9.48998E-09
  9.00000E+01   6.44352E-09
  1.00000E+02   4.43721E-09
  1.25000E+02   1.82137E-09
  1.50000E+02   7.80892E-10
