# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(i3Pg,vf=0)
# Initial-state energy: -1.05384 Hartrees
# Final-state energy:   -0.65447 Hartrees
# Threshold: 1.08676E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.08676E+01   0.00000E+00
  1.15000E+01   4.87105E-07
  1.20000E+01   1.00134E-06
  1.25000E+01   1.36251E-06
  1.30000E+01   1.32776E-06
  1.35000E+01   1.90690E-06
  1.40000E+01   2.53769E-06
  1.45000E+01   3.02748E-06
  1.50000E+01   3.34935E-06
  1.55000E+01   3.56582E-06
  1.60000E+01   3.70718E-06
  1.65000E+01   3.79254E-06
  1.70000E+01   3.83154E-06
  1.75000E+01   3.83690E-06
  1.80000E+01   3.81471E-06
  1.85000E+01   3.77410E-06
  1.90000E+01   3.71294E-06
  1.95000E+01   3.64516E-06
  2.00000E+01   3.56248E-06
  2.10000E+01   3.38642E-06
  2.20000E+01   3.20283E-06
  2.30000E+01   3.01540E-06
  2.40000E+01   2.83076E-06
  2.50000E+01   2.65298E-06
  2.60000E+01   2.47885E-06
  2.70000E+01   2.32365E-06
  2.80000E+01   2.16787E-06
  2.90000E+01   2.02334E-06
  3.00000E+01   1.89803E-06
  3.50000E+01   1.35053E-06
  4.00000E+01   9.74170E-07
  4.50000E+01   6.97401E-07
  5.00000E+01   6.06878E-07
  6.00000E+01   4.42514E-07
  7.00000E+01   3.21874E-07
  8.00000E+01   2.38896E-07
  9.00000E+01   1.81339E-07
  1.00000E+02   1.40857E-07
  1.25000E+02   8.07393E-08
  1.50000E+02   5.08051E-08
