# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(j3Dg,vf=16)
# Initial-state energy: -1.05384 Hartrees
# Final-state energy:   -0.55643 Hartrees
# Threshold: 1.35353E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.35353E+01   0.00000E+00
  1.40000E+01   1.11247E-05
  1.45000E+01   1.61617E-05
  1.50000E+01   1.85310E-05
  1.55000E+01   1.93953E-05
  1.60000E+01   1.94158E-05
  1.65000E+01   1.89857E-05
  1.70000E+01   1.83755E-05
  1.75000E+01   1.75870E-05
  1.80000E+01   1.66820E-05
  1.85000E+01   1.58469E-05
  1.90000E+01   1.50987E-05
  1.95000E+01   1.43212E-05
  2.00000E+01   1.35493E-05
  2.10000E+01   1.21161E-05
  2.20000E+01   1.08260E-05
  2.30000E+01   9.67831E-06
  2.40000E+01   8.67755E-06
  2.50000E+01   7.80181E-06
  2.60000E+01   7.03327E-06
  2.70000E+01   6.35804E-06
  2.80000E+01   5.76577E-06
  2.90000E+01   5.24498E-06
  3.00000E+01   4.78216E-06
  3.50000E+01   3.10929E-06
  4.00000E+01   2.12050E-06
  4.50000E+01   1.50387E-06
  5.00000E+01   1.11059E-06
  6.00000E+01   6.71080E-07
  7.00000E+01   4.35166E-07
  8.00000E+01   2.98388E-07
  9.00000E+01   2.13555E-07
  1.00000E+02   1.58185E-07
  1.25000E+02   8.36548E-08
  1.50000E+02   4.95333E-08
