# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(C1Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.04226 Hartrees
#
# Threshold: 8.96368E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.96368E+00   0.00000E+00
  9.00000E+00   1.12735E-06
  9.50000E+00   8.06657E-06
  1.00000E+01   1.04096E-02
  1.05000E+01   8.18296E-02
  1.15000E+01   2.33515E-01
  1.20000E+01   3.04871E-01
  1.25000E+01   3.72154E-01
  1.30000E+01   4.37513E-01
  1.35000E+01   4.99594E-01
  1.40000E+01   5.57968E-01
  1.45000E+01   6.13768E-01
  1.50000E+01   6.67721E-01
  1.55000E+01   7.19725E-01
  1.60000E+01   7.69527E-01
  1.65000E+01   8.17095E-01
  1.70000E+01   8.62521E-01
  1.75000E+01   9.05979E-01
  1.80000E+01   9.47539E-01
  1.85000E+01   9.87338E-01
  1.90000E+01   1.02543E+00
  1.95000E+01   1.06193E+00
  2.00000E+01   1.09692E+00
  2.10000E+01   1.16278E+00
  2.20000E+01   1.22354E+00
  2.30000E+01   1.27973E+00
  2.40000E+01   1.33179E+00
  2.50000E+01   1.38009E+00
  2.60000E+01   1.42493E+00
  2.70000E+01   1.46661E+00
  2.80000E+01   1.50538E+00
  2.90000E+01   1.54148E+00
  3.00000E+01   1.57506E+00
  3.50000E+01   1.71151E+00
  4.00000E+01   1.80674E+00
  4.50000E+01   1.87170E+00
  5.00000E+01   1.91411E+00
  6.00000E+01   1.95156E+00
  7.00000E+01   1.94784E+00
  8.00000E+01   1.91954E+00
  9.00000E+01   1.87665E+00
  1.00000E+02   1.82551E+00
  1.25000E+02   1.68455E+00
  1.50000E+02   1.54630E+00
  2.00000E+02   1.31183E+00
  2.50000E+02   1.13587E+00
  3.00000E+02   1.00506E+00
  3.50000E+02   9.05556E-01
  4.00000E+02   8.26523E-01
  4.50000E+02   7.60209E-01
  5.00000E+02   7.00909E-01
