# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(H1Sg) (dissociative excitation)
# Initial-state energy: -1.04226 Hartrees
#
# Threshold: 1.32439E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.32439E+01   0.00000E+00
  1.35000E+01   1.27382E-06
  1.40000E+01   6.06859E-05
  1.45000E+01   3.47981E-04
  1.50000E+01   7.26789E-04
  1.55000E+01   1.38575E-03
  1.60000E+01   2.19145E-03
  1.65000E+01   3.51039E-03
  1.70000E+01   3.91572E-03
  1.75000E+01   4.36699E-03
  1.80000E+01   4.89940E-03
  1.85000E+01   5.36119E-03
  1.90000E+01   5.74151E-03
  1.95000E+01   6.07149E-03
  2.00000E+01   6.36518E-03
  2.10000E+01   6.84231E-03
  2.20000E+01   7.22577E-03
  2.30000E+01   7.53267E-03
  2.40000E+01   7.77897E-03
  2.50000E+01   7.97564E-03
  2.60000E+01   8.12973E-03
  2.70000E+01   8.24956E-03
  2.80000E+01   8.34099E-03
  2.90000E+01   8.40812E-03
  3.00000E+01   8.45491E-03
  3.50000E+01   8.47224E-03
  4.00000E+01   8.27960E-03
  4.50000E+01   7.98935E-03
  5.00000E+01   7.65419E-03
  6.00000E+01   6.97466E-03
  7.00000E+01   6.34767E-03
  8.00000E+01   5.79674E-03
  9.00000E+01   5.32218E-03
  1.00000E+02   4.91561E-03
  1.25000E+02   4.13590E-03
  1.50000E+02   3.59915E-03
  2.00000E+02   2.94612E-03
  2.50000E+02   2.58556E-03
  3.00000E+02   2.35352E-03
  3.50000E+02   2.16951E-03
  4.00000E+02   1.98995E-03
  4.50000E+02   1.78430E-03
  5.00000E+02   1.53642E-03
