# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(J1Dg,vf=5)
# Initial-state energy: -1.04226 Hartrees
# Final-state energy:   -0.60748 Hartrees
# Threshold: 1.18308E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.18308E+01   0.00000E+00
  1.20000E+01   5.14894E-04
  1.25000E+01   2.95747E-04
  1.30000E+01   2.14178E-04
  1.35000E+01   1.60060E-04
  1.40000E+01   1.25234E-04
  1.45000E+01   9.97172E-05
  1.50000E+01   8.05873E-05
  1.55000E+01   6.47501E-05
  1.60000E+01   5.26000E-05
  1.65000E+01   4.31132E-05
  1.70000E+01   3.56482E-05
  1.75000E+01   2.97492E-05
  1.80000E+01   2.50512E-05
  1.85000E+01   2.12610E-05
  1.90000E+01   1.81705E-05
  1.95000E+01   1.56416E-05
  2.00000E+01   1.35554E-05
  2.10000E+01   1.03825E-05
  2.20000E+01   8.10421E-06
  2.30000E+01   6.66727E-06
  2.40000E+01   5.61334E-06
  2.50000E+01   4.84378E-06
  2.60000E+01   4.26309E-06
  2.70000E+01   3.84440E-06
  2.80000E+01   3.54178E-06
  2.90000E+01   3.34207E-06
  3.00000E+01   3.19833E-06
  3.50000E+01   3.11924E-06
  4.00000E+01   3.61931E-06
  4.50000E+01   4.32849E-06
  5.00000E+01   5.16365E-06
  6.00000E+01   6.93003E-06
  7.00000E+01   8.51204E-06
  8.00000E+01   9.76089E-06
  9.00000E+01   1.06215E-05
  1.00000E+02   1.10426E-05
  1.25000E+02   1.13939E-05
  1.50000E+02   1.07542E-05
  2.00000E+02   8.63574E-06
  2.50000E+02   6.47470E-06
  3.00000E+02   4.66611E-06
  3.50000E+02   3.23892E-06
  4.00000E+02   2.14853E-06
  4.50000E+02   1.34582E-06
  5.00000E+02   7.91337E-07
