# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(a3Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.04226 Hartrees
#
# Threshold: 8.46609E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.46609E+00   0.00000E+00
  8.50000E+00   1.13037E-03
  9.00000E+00   4.79354E-05
  9.50000E+00   1.52078E-02
  1.00000E+01   2.48045E-01
  1.05000E+01   2.84525E-01
  1.15000E+01   3.22326E-01
  1.20000E+01   3.38243E-01
  1.25000E+01   3.35532E-01
  1.30000E+01   3.16635E-01
  1.35000E+01   3.05089E-01
  1.40000E+01   2.94002E-01
  1.45000E+01   2.79768E-01
  1.50000E+01   2.63452E-01
  1.55000E+01   2.47132E-01
  1.60000E+01   2.31563E-01
  1.65000E+01   2.17051E-01
  1.70000E+01   2.03088E-01
  1.75000E+01   1.90418E-01
  1.80000E+01   1.78559E-01
  1.85000E+01   1.67343E-01
  1.90000E+01   1.56803E-01
  1.95000E+01   1.46982E-01
  2.00000E+01   1.37829E-01
  2.10000E+01   1.21415E-01
  2.20000E+01   1.07338E-01
  2.30000E+01   9.50992E-02
  2.40000E+01   8.45660E-02
  2.50000E+01   7.54443E-02
  2.60000E+01   6.75278E-02
  2.70000E+01   6.06437E-02
  2.80000E+01   5.46329E-02
  2.90000E+01   4.93673E-02
  3.00000E+01   4.47592E-02
  3.50000E+01   2.85025E-02
  4.00000E+01   1.92189E-02
  4.50000E+01   1.35816E-02
  5.00000E+01   9.94898E-03
  6.00000E+01   5.79986E-03
  7.00000E+01   3.67191E-03
  8.00000E+01   2.47007E-03
  9.00000E+01   1.74056E-03
  1.00000E+02   1.27222E-03
  1.25000E+02   6.54754E-04
  1.50000E+02   3.80200E-04
