# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(c3Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.03181 Hartrees
#
# Threshold: 8.15901E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.15901E+00   0.00000E+00
  8.50000E+00   3.27636E-06
  9.00000E+00   3.21858E-03
  9.50000E+00   3.45354E-01
  1.00000E+01   6.09746E-01
  1.05000E+01   6.78556E-01
  1.15000E+01   6.97247E-01
  1.20000E+01   6.78510E-01
  1.25000E+01   6.57368E-01
  1.30000E+01   6.26481E-01
  1.35000E+01   5.92510E-01
  1.40000E+01   5.61430E-01
  1.45000E+01   5.33545E-01
  1.50000E+01   5.06900E-01
  1.55000E+01   4.80878E-01
  1.60000E+01   4.55647E-01
  1.65000E+01   4.31049E-01
  1.70000E+01   4.07351E-01
  1.75000E+01   3.84658E-01
  1.80000E+01   3.63151E-01
  1.85000E+01   3.42896E-01
  1.90000E+01   3.23901E-01
  1.95000E+01   3.06092E-01
  2.00000E+01   2.89392E-01
  2.10000E+01   2.59147E-01
  2.20000E+01   2.32700E-01
  2.30000E+01   2.09548E-01
  2.40000E+01   1.89243E-01
  2.50000E+01   1.71407E-01
  2.60000E+01   1.55698E-01
  2.70000E+01   1.41818E-01
  2.80000E+01   1.29502E-01
  2.90000E+01   1.18558E-01
  3.00000E+01   1.08820E-01
  3.50000E+01   7.32059E-02
  4.00000E+01   5.15845E-02
  4.50000E+01   3.77346E-02
  5.00000E+01   2.84450E-02
  6.00000E+01   1.73594E-02
  7.00000E+01   1.13862E-02
  8.00000E+01   7.87781E-03
  9.00000E+01   5.68146E-03
  1.00000E+02   4.23487E-03
  1.25000E+02   2.26726E-03
  1.50000E+02   1.35510E-03
