# MCCC calculations of H2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2020)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the d3Pu electronic state of H2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65536           -17.83340
  1   -0.64512           -17.55470
  2   -0.63546           -17.29170
  3   -0.62636           -17.04430
  4   -0.61782           -16.81160
  5   -0.60979           -16.59320
  6   -0.60228           -16.38880
  7   -0.59527           -16.19810
  8   -0.58877           -16.02120
  9   -0.58279           -15.85840
 10   -0.57732           -15.70980
 11   -0.57240           -15.57590
 12   -0.56805           -15.45730
 13   -0.56429           -15.35510
 14   -0.56120           -15.27090
 15   -0.55889           -15.20800
 16   -0.55746           -15.16930
 17   -0.55659           -15.14570
 18   -0.55602           -15.13010
 19   -0.55569           -15.12110
 20   -0.55556           -15.11770
