# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(301) model
# Reference: Scarlett et al., in preparation (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0,Ni=27) -> e + H2(X1Sg,vf=0,Nf=29)
# Initial-state energy: -1.02982 Hartrees
# Final-state energy:   -1.01675 Hartrees
# Threshold: 0.355653 eV
#
# Energy (eV)   CS (a_0^2)
  3.55653E-01   0.00000E+00
  4.00000E-01   9.92498E-02
  5.00000E-01   1.92702E-01
  6.00000E-01   2.72067E-01
  8.00000E-01   4.30426E-01
  1.00000E+00   6.00615E-01
  1.20000E+00   7.62625E-01
  1.50000E+00   1.04509E+00
  2.00000E+00   1.47928E+00
  2.50000E+00   1.82123E+00
  2.75000E+00   1.96912E+00
  3.00000E+00   2.06413E+00
  3.50000E+00   2.21872E+00
  4.00000E+00   2.29168E+00
  4.50000E+00   2.31048E+00
  5.00000E+00   2.29418E+00
  5.50000E+00   2.26493E+00
  6.00000E+00   2.21048E+00
  6.50000E+00   2.14901E+00
  7.00000E+00   2.07769E+00
  7.50000E+00   2.00480E+00
  8.00000E+00   1.93714E+00
  8.50000E+00   1.88047E+00
  9.00000E+00   1.81292E+00
  9.50000E+00   1.72690E+00
  1.00000E+01   1.65135E+00
  1.10000E+01   1.48114E+00
  1.20000E+01   1.32463E+00
  1.30000E+01   1.16151E+00
  1.40000E+01   1.05461E+00
  1.50000E+01   9.65367E-01
  1.60000E+01   8.98275E-01
  1.70000E+01   8.37169E-01
  1.80000E+01   7.83151E-01
  1.90000E+01   7.34338E-01
  2.00000E+01   6.94535E-01
