# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(301) model
# Reference: Scarlett et al., in preparation (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0,Ni=31) -> e + H2(X1Sg,vf=0,Nf=29)
# Initial-state energy: -1.00409 Hartrees
# Final-state energy:   -1.01675 Hartrees
# Threshold: N/A
#
# Energy (eV)   CS (a_0^2)
  1.00000E-02   6.48369E-01
  2.00000E-02   4.68836E-01
  3.00000E-02   3.70732E-01
  4.00000E-02   3.01151E-01
  8.00000E-02   2.92900E-01
  1.00000E-01   2.98006E-01
  2.00000E-01   3.12115E-01
  3.00000E-01   3.51625E-01
  4.00000E-01   3.79999E-01
  5.00000E-01   4.35502E-01
  6.00000E-01   4.99773E-01
  8.00000E-01   6.45418E-01
  1.00000E+00   8.10607E-01
  1.20000E+00   9.63692E-01
  1.50000E+00   1.23967E+00
  2.00000E+00   1.65033E+00
  2.50000E+00   1.95981E+00
  2.75000E+00   2.09154E+00
  3.00000E+00   2.16888E+00
  3.50000E+00   2.29218E+00
  4.00000E+00   2.33780E+00
  4.50000E+00   2.33395E+00
  5.00000E+00   2.29939E+00
  5.50000E+00   2.25557E+00
  6.00000E+00   2.18963E+00
  6.50000E+00   2.11916E+00
  7.00000E+00   2.04093E+00
  7.50000E+00   1.96275E+00
  8.00000E+00   1.89097E+00
  8.50000E+00   1.83092E+00
  9.00000E+00   1.76110E+00
  9.50000E+00   1.67410E+00
  1.00000E+01   1.59790E+00
  1.10000E+01   1.42864E+00
  1.20000E+01   1.27429E+00
  1.30000E+01   1.11486E+00
  1.40000E+01   1.01030E+00
  1.50000E+01   9.23268E-01
  1.60000E+01   8.57847E-01
  1.70000E+01   7.98463E-01
  1.80000E+01   7.46087E-01
  1.90000E+01   6.98868E-01
  2.00000E+01   6.60378E-01
