# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.63929E+00    1.34480E+02   3.76320E+01   8.81800E-04   4.72770E+01   2.31670E+02   8.53720E-07   3.65700E-02
   1  3.32609E+00    1.12950E+02   3.85510E+01   4.22660E-11   3.66930E-08   3.91460E+02   1.37220E-07   5.79880E-02
   2  3.30150E+00    9.32130E+01   5.06660E+01   1.92340E-04   1.01720E+02   2.88460E+02   2.51120E-07   1.02780E-01
   3  3.27770E+00    6.66480E+01   7.76500E+01   1.13810E-05   1.22250E-07   1.13230E+02   7.60310E-07   7.79610E-01
   4  3.25460E+00    6.61080E+01   9.48760E+01   5.50440E-06   1.87190E+02   1.12770E+02   4.60950E-04   2.78940E-01
   5  3.00660E+00    7.87110E+01   7.07340E-10   2.02230E+02   9.78190E-08   1.17450E+02   1.68150E+01   4.03350E-01
   6  3.00030E+00    8.67930E+01   9.70260E-08   1.29380E+02   1.70140E+02   4.52990E-05   2.21270E+01   4.30560E-01
   7  2.99530E+00    8.52600E+01   1.40590E+01   8.43620E+01   2.53940E+02   9.34160E-05   4.17910E-09   4.00460E-01
   8  2.99240E+00    8.75090E+01   2.72590E+01   4.82170E+01   3.45790E+02   7.91460E-04   2.38300E-04   2.87970E-01
   9  2.99240E+00    9.38010E+01   3.27260E+01   3.06170E+01   3.65950E+02   1.41230E-05   1.55800E-07   2.45710E-01
  10  2.99660E+00    1.18390E+02   1.21670E-07   1.33890E-04   4.14150E-08   5.18800E+01   4.88390E-08   1.42280E+00
  11  3.00680E+00    1.42600E+02   1.41790E-04   1.82600E+01   3.47530E+02   4.02740E-08   7.05580E-09   1.26390E-01
  12  3.02570E+00    1.31340E+02   7.31670E-03   7.48690E+01   2.73960E+02   1.91940E-05   4.85100E-08   1.39400E-01
  13  2.92940E+00    8.38060E+01   6.78350E-05   1.47190E+02   1.99870E+02   5.78210E-09   2.84900E-06   2.80490E-01
  14  2.99190E+00    6.22780E+01   1.12260E-06   1.35570E+02   2.17230E+02   1.77400E-05   1.42840E-07   2.74060E-01
  15  3.17100E+00    5.37960E+01   1.15680E-07   6.86380E-07   8.46660E+01   3.14480E-08   1.44510E-06   2.16840E+00
