# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vf=17) -> e + D2*(n,v) -> D2(X1Sg,vi=1) (excitation + radiative decay)
# Initial-state energy: -1.00893 Hartrees
# Final-state energy: -1.15378 Hartrees
# Threshold: 6.92383E+00 eV
#
# Energy (eV)   CS (a_0^2)
  6.92383E+00   0.00000E+00
  7.00000E+00   3.25955E-08
  7.50000E+00   6.42522E-06
  8.00000E+00   1.45385E-02
  8.50000E+00   7.15866E-02
  9.00000E+00   1.23571E-01
  9.50000E+00   1.59335E-01
  1.00000E+01   1.87980E-01
  1.05000E+01   2.23547E-01
  1.10000E+01   2.48616E-01
  1.15000E+01   2.68806E-01
  1.20000E+01   2.85600E-01
  1.25000E+01   2.99854E-01
  1.30000E+01   3.12281E-01
  1.35000E+01   3.22993E-01
  1.40000E+01   3.31918E-01
  1.45000E+01   3.39772E-01
  1.50000E+01   3.46186E-01
  1.55000E+01   3.51963E-01
  1.60000E+01   3.56697E-01
  1.65000E+01   3.61177E-01
  1.70000E+01   3.64874E-01
  1.75000E+01   3.68529E-01
  1.80000E+01   3.71567E-01
  1.85000E+01   3.74676E-01
  1.90000E+01   3.77286E-01
  1.95000E+01   3.80019E-01
  2.00000E+01   3.82343E-01
  2.10000E+01   3.86947E-01
  2.20000E+01   3.91151E-01
  2.30000E+01   3.95003E-01
  2.40000E+01   3.98586E-01
  2.50000E+01   4.01724E-01
  2.60000E+01   4.04454E-01
  2.70000E+01   4.06794E-01
  2.80000E+01   4.08767E-01
  2.90000E+01   4.10398E-01
  3.00000E+01   4.11673E-01
  3.50000E+01   4.13868E-01
  4.00000E+01   4.11761E-01
  4.50000E+01   4.08037E-01
  5.00000E+01   4.03080E-01
  6.00000E+01   3.89838E-01
  7.00000E+01   3.74662E-01
  8.00000E+01   3.58815E-01
  9.00000E+01   3.43055E-01
  1.00000E+02   3.27846E-01
  1.25000E+02   2.93378E-01
  1.50000E+02   2.64348E-01
  2.00000E+02   2.20101E-01
  2.50000E+02   1.89224E-01
  3.00000E+02   1.66903E-01
  3.50000E+02   1.49872E-01
  4.00000E+02   1.36077E-01
  4.50000E+02   1.24519E-01
  5.00000E+02   1.13972E-01
