# MCCC calculations of electron scattering on molecular hydrogen and its isotoplogues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., At. Data Nucl. Data Tables (2022).
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2*(n,v) -> D2(X1Sg,vf=16) (excitation + radiative decay)
# Initial-state energy: -1.07311 Hartrees
# Final-state energy: -1.01346 Hartrees
# Threshold: 8.67036E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.67036E+00   0.00000E+00
  9.00000E+00   1.77330E-08
  9.50000E+00   4.44892E-04
  1.00000E+01   3.45005E-03
  1.05000E+01   6.43462E-03
  1.10000E+01   9.27237E-03
  1.15000E+01   1.19151E-02
  1.20000E+01   1.48564E-02
  1.25000E+01   1.79656E-02
  1.30000E+01   2.08511E-02
  1.35000E+01   2.36457E-02
  1.40000E+01   2.61763E-02
  1.45000E+01   2.83851E-02
  1.50000E+01   3.03165E-02
  1.55000E+01   3.20328E-02
  1.60000E+01   3.35665E-02
  1.65000E+01   3.49545E-02
  1.70000E+01   3.62207E-02
  1.75000E+01   3.73836E-02
  1.80000E+01   3.84514E-02
  1.85000E+01   3.94412E-02
  1.90000E+01   4.03617E-02
  1.95000E+01   4.12155E-02
  2.00000E+01   4.20082E-02
  2.10000E+01   4.34229E-02
  2.20000E+01   4.46513E-02
  2.30000E+01   4.57231E-02
  2.40000E+01   4.66658E-02
  2.50000E+01   4.74989E-02
  2.60000E+01   4.82363E-02
  2.70000E+01   4.88882E-02
  2.80000E+01   4.94674E-02
  2.90000E+01   4.99800E-02
  3.00000E+01   5.04324E-02
  3.50000E+01   5.19720E-02
  4.00000E+01   5.27270E-02
  4.50000E+01   5.30541E-02
  5.00000E+01   5.30465E-02
  6.00000E+01   5.21783E-02
  7.00000E+01   5.05688E-02
  8.00000E+01   4.87483E-02
  9.00000E+01   4.68840E-02
  1.00000E+02   4.50437E-02
  1.25000E+02   4.07810E-02
  1.50000E+02   3.71009E-02
  2.00000E+02   3.13000E-02
  2.50000E+02   2.69983E-02
  3.00000E+02   2.37539E-02
  3.50000E+02   2.13025E-02
  4.00000E+02   1.93522E-02
  4.50000E+02   1.77067E-02
  5.00000E+02   1.62526E-02
