# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(j3Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  2  1.32469E+01    4.75940E-02  -3.89100E-02   2.54570E-01  -4.46580E-01   3.25390E-01
   1 <-  2  1.34437E+01    2.68190E-02  -1.26750E-02   7.92800E-02  -1.45170E-01   1.09520E-01
   2 <-  2  1.36354E+01    2.69410E-03  -4.48600E-05   9.70790E-04  -1.71620E-03   7.73230E-04
   3 <-  2  1.38167E+01    2.02410E-02  -6.74400E-03   4.45450E-02  -7.70800E-02   5.31870E-02
   4 <-  2  1.39889E+01    5.48090E-06   7.47780E-03  -5.79060E-02   1.62400E-01  -1.06480E-01
   5 <-  2  1.41546E+01    2.74100E-02  -1.26560E-02   7.42710E-02  -1.36150E-01   9.71160E-02
   6 <-  2  1.43139E+01    2.06370E-02  -7.13950E-03   4.06950E-02  -7.50970E-02   5.34450E-02
   7 <-  2  1.44665E+01    1.04110E-02  -1.79520E-03   1.01390E-02  -1.83350E-02   1.30850E-02
   8 <-  2  1.46117E+01    2.17220E-03  -6.79090E-05   3.43490E-04  -4.57170E-04   2.18390E-04
   9 <-  2  1.47493E+01    5.29130E-03  -4.98240E-04   2.90020E-03  -6.13050E-03   4.81820E-03
  10 <-  2  1.48801E+01    9.73650E-03  -1.64850E-03   9.52800E-03  -1.94270E-02   1.52970E-02
  11 <-  2  1.50041E+01    1.35460E-02  -3.12940E-03   1.77650E-02  -3.54960E-02   2.73290E-02
  12 <-  2  1.51210E+01    1.55150E-02  -4.06060E-03   2.29370E-02  -4.53320E-02   3.46920E-02
  13 <-  2  1.52309E+01    1.61830E-02  -4.38210E-03   2.47710E-02  -4.85700E-02   3.71450E-02
  14 <-  2  1.53338E+01    1.53200E-02  -3.91930E-03   2.24710E-02  -4.39120E-02   3.40800E-02
  15 <-  2  1.54293E+01    8.55780E-06  -1.52780E-04   3.52470E-03  -8.02420E-03   1.14070E-02
  16 <-  2  1.55176E+01    1.44160E-02  -3.42670E-03   1.96650E-02  -3.80290E-02   2.91540E-02
  17 <-  2  1.55983E+01    1.33890E-02  -2.94740E-03   1.69910E-02  -3.28050E-02   2.51300E-02
  18 <-  2  1.56712E+01    1.22120E-02  -2.44990E-03   1.42160E-02  -2.74620E-02   2.10850E-02
  19 <-  2  1.57359E+01    1.08370E-02  -1.93250E-03   1.13260E-02  -2.19430E-02   1.69610E-02
  20 <-  2  1.57919E+01    9.19220E-03  -1.40070E-03   8.38650E-03  -1.63620E-02   1.28790E-02
  21 <-  2  1.58387E+01    6.22790E-03  -6.75010E-04   4.50850E-03  -9.05800E-03   7.78060E-03
  22 <-  2  1.58756E+01    1.08890E-07   4.14800E-04  -3.24230E-03   8.46440E-03  -4.95480E-03
  23 <-  2  1.59018E+01    3.15020E-08   4.72390E-04  -4.01140E-03   1.03140E-02  -6.79350E-03
  24 <-  2  1.59167E+01   -1.07180E-06   1.89820E-04  -1.59550E-03   4.10430E-03  -2.66630E-03
  25 <-  2  1.59212E+01   -3.38440E-08   2.22760E-05  -1.85330E-04   4.77290E-04  -3.05750E-04
  26 <-  2  1.59218E+01   -2.99360E-07   2.66230E-06  -2.21010E-05   5.69310E-05  -3.63590E-05
  DE <-  2  1.59218E+01    1.44210E-06   1.47660E-03  -6.14860E-03   1.78080E-02   5.75410E-03
