# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=6) -> e + D2(J1Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  6  1.19657E+01    2.05980E-02   1.40630E-03   1.39930E-02  -4.21140E-02   6.01360E-02  -2.49830E-02
   1 <-  6  1.21634E+01    1.06730E-05   3.58630E-02  -4.48520E-02   2.60850E-01  -5.46500E-01   4.26950E-01
   2 <-  6  1.23546E+01    1.80660E-05   3.44720E-02  -8.64350E-02   4.60080E-01  -8.88800E-01   6.13720E-01
   3 <-  6  1.25363E+01    2.20100E-02   3.32040E-03   2.86630E-02  -9.10770E-02   1.25830E-01  -5.56220E-02
   4 <-  6  1.27084E+01   -5.98960E-06   6.10980E-03  -1.08180E-02   6.30480E-02  -1.23600E-01   8.96870E-02
   5 <-  6  1.28741E+01    1.89980E-06   1.06510E-02   1.92920E-02  -4.47810E-02   4.44680E-02   2.85300E-03
   6 <-  6  1.30335E+01    3.49170E-06   2.94600E-03   3.76930E-03  -1.60180E-03  -7.03510E-03   1.02080E-02
   7 <-  6  1.31861E+01    1.11590E-02  -3.26500E-04   2.65610E-03  -7.95790E-03   1.13160E-02  -5.37670E-03
   8 <-  6  1.33313E+01    1.74830E-02   1.83160E-03   1.11790E-02  -2.92210E-02   3.77330E-02  -1.28830E-02
   9 <-  6  1.34688E+01   -3.90530E-06   5.24210E-03  -3.18280E-03   3.44740E-02  -7.08030E-02   5.17130E-02
  10 <-  6  1.35997E+01    1.38580E-05   4.68240E-03  -1.48880E-02   8.39480E-02  -1.53610E-01   9.70130E-02
  11 <-  6  1.37237E+01    4.01060E-06   2.52110E-03  -1.47660E-02   7.40250E-02  -1.30860E-01   7.90220E-02
  12 <-  6  1.38405E+01   -2.39790E-07   6.73250E-04  -6.34130E-03   2.96970E-02  -5.12140E-02   3.00280E-02
  13 <-  6  1.39504E+01    2.78390E-07   1.19980E-05   6.98840E-05  -1.20390E-04   2.71200E-05   2.12450E-05
  14 <-  6  1.40533E+01    5.09070E-06   4.13300E-04  -6.70080E-04   5.50170E-03  -1.11290E-02   7.27290E-03
  15 <-  6  1.41488E+01   -4.27330E-07   1.08840E-03  -3.78900E-03   2.23090E-02  -4.14940E-02   2.58720E-02
  16 <-  6  1.42370E+01   -5.00000E-08   1.57280E-03  -6.12440E-03   3.44550E-02  -6.29680E-02   3.89450E-02
  17 <-  6  1.43177E+01    8.33300E-07   1.70130E-03  -6.28720E-03   3.53970E-02  -6.43560E-02   3.99250E-02
  18 <-  6  1.43905E+01   -5.01480E-08   1.48960E-03  -3.82370E-03   2.36110E-02  -4.36400E-02   2.79380E-02
  19 <-  6  1.44552E+01   -4.61690E-06   1.19970E-03  -1.91980E-03   1.38350E-02  -2.60840E-02   1.74200E-02
  20 <-  6  1.45111E+01   -4.01670E-06   9.26620E-04  -8.94140E-04   7.95410E-03  -1.52100E-02   1.06130E-02
  21 <-  6  1.45577E+01   -1.84040E-07   6.63270E-04  -2.06560E-04   3.70430E-03  -7.31700E-03   5.54370E-03
  22 <-  6  1.45945E+01   -1.49660E-06   4.42900E-04   1.20820E-04   1.29260E-03  -2.77150E-03   2.48590E-03
  23 <-  6  1.46205E+01    8.40590E-07   2.61110E-04   1.86450E-04   2.37320E-04  -6.94360E-04   9.24260E-04
  24 <-  6  1.46351E+01    1.55970E-06   1.08070E-04   1.04630E-04  -2.68260E-05  -6.32400E-05   2.53150E-04
  25 <-  6  1.46393E+01    1.14970E-06   1.27980E-05   1.33060E-05  -7.34370E-06  -1.15480E-08   2.56570E-05
  26 <-  6  1.46398E+01   -8.71650E-08   1.45080E-06   1.52220E-06  -8.95240E-07   1.11350E-07   2.84340E-06
  DE <-  6  1.46399E+01    1.61580E-01  -8.76990E-02   5.44290E-01  -1.52610E+00   2.15010E+00  -1.09460E+00
