# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  8  8.67032E+00    1.46640E+00   5.97720E-01  -5.67280E+00   1.70840E+01  -1.49640E+01   4.07450E+00
   1 <-  8  8.78731E+00    1.41810E+00   7.17420E-01  -6.07300E+00   1.79200E+01  -1.68040E+01   5.45740E+00
   2 <-  8  8.90187E+00    7.36730E-01   3.14260E-01  -2.21430E+00   6.00220E+00  -5.58820E+00   1.74390E+00
   3 <-  8  9.01416E+00    6.78760E-01   9.32330E-02  -1.00620E+00   3.33260E+00  -3.35220E+00   1.25490E+00
   4 <-  8  9.12427E+00    1.02780E+00   2.63950E-01  -2.47260E+00   7.50250E+00  -6.95820E+00   2.23140E+00
   5 <-  8  9.23224E+00    4.22310E-01   9.72300E-03  -2.36690E-01   8.21210E-01  -7.17900E-01   1.93120E-01
   6 <-  8  9.33812E+00    3.45330E-01   1.03340E-01  -6.39070E-01   1.64930E+00  -1.58520E+00   5.63220E-01
   7 <-  8  9.44194E+00    7.31810E-01   3.60050E-01  -2.36430E+00   6.34140E+00  -6.32190E+00   2.33910E+00
   8 <-  8  9.54373E+00    6.56550E-01   2.55190E-01  -1.73310E+00   4.72190E+00  -4.79740E+00   1.83020E+00
   9 <-  8  9.64350E+00    2.88740E-01   4.28680E-02  -3.14470E-01   9.18160E-01  -1.04150E+00   4.56350E-01
  10 <-  8  9.74129E+00    1.27040E-01   2.12020E-02  -1.14730E-01   2.58880E-01  -2.06320E-01   4.80570E-02
  11 <-  8  9.83712E+00    4.25850E-01   1.73290E-01  -1.03350E+00   2.60540E+00  -2.56610E+00   9.39030E-01
  12 <-  8  9.93099E+00    5.41770E-01   2.75750E-01  -1.66930E+00   4.28880E+00  -4.42120E+00   1.73510E+00
  13 <-  8  1.00229E+01    4.87380E-01   2.32630E-01  -1.41160E+00   3.66080E+00  -3.90880E+00   1.61210E+00
  14 <-  8  1.01130E+01    3.16240E-01   1.17800E-01  -7.05360E-01   1.84860E+00  -2.08080E+00   9.13250E-01
  15 <-  8  1.02011E+01    9.76630E-02   2.20430E-02  -1.26610E-01   3.36580E-01  -4.15960E-01   1.99980E-01
  16 <-  8  1.02874E+01    9.91880E-02   5.39160E-03  -3.47960E-02   9.17300E-02  -7.56320E-02   1.73300E-02
