# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(d3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  9  1.10681E+01   -2.68960E-08  -1.78700E-06   3.27660E-05  -5.26580E-05   2.10580E-05
   1 <-  9  1.12684E+01    3.07390E-03  -2.18530E-04   2.23650E-03  -5.28260E-03   5.63520E-03
   2 <-  9  1.14611E+01    1.84610E-02  -8.01200E-03   8.02760E-02  -1.73040E-01   1.75420E-01
   3 <-  9  1.16457E+01    4.99530E-02  -5.89590E-02   5.69530E-01  -1.25610E+00   1.25610E+00
   4 <-  9  1.18225E+01    5.07640E-02  -6.02140E-02   5.62350E-01  -1.24910E+00   1.22420E+00
   5 <-  9  1.19915E+01    1.63820E-02  -6.33570E-03   5.77680E-02  -1.33270E-01   1.34830E-01
   6 <-  9  1.21536E+01    2.95330E-02  -1.99270E-02   1.85200E-01  -4.00380E-01   3.89270E-01
   7 <-  9  1.23087E+01    3.18260E-02  -2.31010E-02   2.05820E-01  -4.55440E-01   4.38480E-01
   8 <-  9  1.24569E+01    5.76740E-03  -7.81410E-04   6.67020E-03  -1.54510E-02   1.53370E-02
   9 <-  9  1.25982E+01    1.68620E-02  -6.25510E-03   5.73060E-02  -1.20880E-01   1.14660E-01
  10 <-  9  1.27325E+01    2.68810E-02  -1.58670E-02   1.39570E-01  -2.98020E-01   2.77660E-01
  11 <-  9  1.28596E+01    2.35890E-02  -1.21370E-02   1.04640E-01  -2.22860E-01   2.04460E-01
  12 <-  9  1.29798E+01    1.28940E-02  -3.60180E-03   3.05610E-02  -6.44410E-02   5.81240E-02
  13 <-  9  1.30929E+01    2.35050E-09   1.42010E-06  -1.44890E-05   1.31740E-04  -1.20880E-04
  14 <-  9  1.31989E+01    9.27310E-03  -1.82170E-03   1.54250E-02  -3.29120E-02   2.96800E-02
  15 <-  9  1.32977E+01    1.55570E-02  -5.09820E-03   4.29130E-02  -9.01910E-02   8.03390E-02
  16 <-  9  1.33890E+01    1.84080E-02  -7.08620E-03   5.93080E-02  -1.23440E-01   1.08820E-01
  17 <-  9  1.34726E+01    1.86310E-02  -7.20440E-03   5.98950E-02  -1.23680E-01   1.07880E-01
  18 <-  9  1.35482E+01    1.50040E-02  -4.65910E-03   4.10330E-02  -8.17020E-02   7.31550E-02
  19 <-  9  1.36152E+01    1.26880E-02  -3.30670E-03   2.91170E-02  -5.73700E-02   5.09760E-02
  20 <-  9  1.36728E+01    1.00690E-02  -2.06720E-03   1.82650E-02  -3.55410E-02   3.13890E-02
  21 <-  9  1.37198E+01    7.51290E-03  -1.14300E-03   1.01770E-02  -1.95110E-02   1.71580E-02
  22 <-  9  1.37544E+01    5.27130E-03  -5.59200E-04   5.03730E-03  -9.50180E-03   8.33860E-03
  23 <-  9  1.37777E+01    3.80940E-03  -2.90560E-04   2.65380E-03  -4.92680E-03   4.32310E-03
  24 <-  9  1.37947E+01    2.92490E-03  -1.70540E-04   1.58300E-03  -2.89120E-03   2.54070E-03
  25 <-  9  1.38074E+01    2.25560E-03  -1.01010E-04   9.55040E-04  -1.71510E-03   1.51150E-03
  26 <-  9  1.38165E+01    1.71260E-03  -5.80240E-05   5.59100E-04  -9.88050E-04   8.74050E-04
  27 <-  9  1.38225E+01    1.24060E-03  -3.03670E-05   2.97420E-04  -5.18730E-04   4.60580E-04
  28 <-  9  1.38256E+01    7.57400E-04  -1.13010E-05   1.11840E-04  -1.93490E-04   1.72230E-04
  29 <-  9  1.38264E+01    2.12760E-04  -8.91350E-07   8.84790E-06  -1.52720E-05   1.36050E-05
  DE <-  9  1.38264E+01    1.73320E-05   3.95140E-02  -1.83930E-01   1.14920E+00  -1.02040E+00
