# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(C1Pu,vf=14)
# Initial-state energy: -1.16742 Hartrees
# Final-state energy:   -0.63600 Hartrees
# Threshold: 1.44608E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.44608E+01   0.00000E+00
  1.45000E+01   1.81638E-10
  1.50000E+01   5.34522E-05
  1.55000E+01   1.47946E-04
  1.60000E+01   2.54210E-04
  1.65000E+01   3.64575E-04
  1.70000E+01   4.76389E-04
  1.75000E+01   5.88357E-04
  1.80000E+01   6.99429E-04
  1.85000E+01   8.08795E-04
  1.90000E+01   9.16087E-04
  1.95000E+01   1.02113E-03
  2.00000E+01   1.12286E-03
  2.10000E+01   1.31919E-03
  2.20000E+01   1.50650E-03
  2.30000E+01   1.67956E-03
  2.40000E+01   1.84296E-03
  2.50000E+01   1.99668E-03
  2.60000E+01   2.14116E-03
  2.70000E+01   2.27682E-03
  2.80000E+01   2.40415E-03
  2.90000E+01   2.52355E-03
  3.00000E+01   2.63583E-03
  3.50000E+01   3.09796E-03
  4.00000E+01   3.43186E-03
  4.50000E+01   3.66897E-03
  5.00000E+01   3.83492E-03
  6.00000E+01   4.01501E-03
  7.00000E+01   4.07527E-03
  8.00000E+01   4.06380E-03
  9.00000E+01   4.01076E-03
  1.00000E+02   3.93405E-03
  1.25000E+02   3.69958E-03
  1.50000E+02   3.45810E-03
  2.00000E+02   3.02808E-03
  2.50000E+02   2.68390E-03
  3.00000E+02   2.40689E-03
  3.50000E+02   2.18292E-03
  4.00000E+02   1.99608E-03
  4.50000E+02   1.83819E-03
  5.00000E+02   1.70241E-03
