# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(GK1Sg) (dissociative excitation)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.47600E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.47600E+01   0.00000E+00
  1.50000E+01   2.38931E-04
  1.55000E+01   1.72161E-03
  1.60000E+01   3.55171E-03
  1.65000E+01   5.12289E-03
  1.70000E+01   6.20460E-03
  1.75000E+01   6.92958E-03
  1.80000E+01   7.42619E-03
  1.85000E+01   7.75273E-03
  1.90000E+01   7.95904E-03
  1.95000E+01   8.08776E-03
  2.00000E+01   8.16635E-03
  2.10000E+01   8.23630E-03
  2.20000E+01   8.25453E-03
  2.30000E+01   8.24651E-03
  2.40000E+01   8.21472E-03
  2.50000E+01   8.17023E-03
  2.60000E+01   8.11443E-03
  2.70000E+01   8.04628E-03
  2.80000E+01   7.96533E-03
  2.90000E+01   7.87199E-03
  3.00000E+01   7.76697E-03
  3.50000E+01   7.15531E-03
  4.00000E+01   6.51999E-03
  4.50000E+01   5.95477E-03
  5.00000E+01   5.47261E-03
  6.00000E+01   4.73571E-03
  7.00000E+01   4.21258E-03
  8.00000E+01   3.81617E-03
  9.00000E+01   3.49650E-03
  1.00000E+02   3.22771E-03
  1.25000E+02   2.68896E-03
  1.50000E+02   2.27646E-03
  2.00000E+02   1.68954E-03
  2.50000E+02   1.32590E-03
  3.00000E+02   1.09884E-03
  3.50000E+02   9.48858E-04
  4.00000E+02   8.36157E-04
  4.50000E+02   7.43218E-04
  5.00000E+02   6.73935E-04
