# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(I1Pg,vf=9)
# Initial-state energy: -1.16742 Hartrees
# Final-state energy:   -0.62503 Hartrees
# Threshold: 1.47591E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.47591E+01   0.00000E+00
  1.50000E+01   7.32880E-16
  1.55000E+01   1.64923E-15
  1.60000E+01   6.15925E-15
  1.65000E+01   1.27945E-14
  1.70000E+01   2.07114E-14
  1.75000E+01   2.91664E-14
  1.80000E+01   3.78322E-14
  1.85000E+01   4.64238E-14
  1.90000E+01   5.47504E-14
  1.95000E+01   6.27053E-14
  2.00000E+01   7.02403E-14
  2.10000E+01   8.38949E-14
  2.20000E+01   9.56929E-14
  2.30000E+01   1.05704E-13
  2.40000E+01   1.14133E-13
  2.50000E+01   1.21157E-13
  2.60000E+01   1.26958E-13
  2.70000E+01   1.31702E-13
  2.80000E+01   1.35534E-13
  2.90000E+01   1.38577E-13
  3.00000E+01   1.40941E-13
  3.50000E+01   1.45566E-13
  4.00000E+01   1.43350E-13
  4.50000E+01   1.38044E-13
  5.00000E+01   1.31548E-13
  6.00000E+01   1.17966E-13
  7.00000E+01   1.05541E-13
  8.00000E+01   9.47713E-14
  9.00000E+01   8.56008E-14
  1.00000E+02   7.78026E-14
  1.25000E+02   6.28885E-14
  1.50000E+02   5.24800E-14
  2.00000E+02   3.93006E-14
  2.50000E+02   3.15335E-14
  3.00000E+02   2.65020E-14
  3.50000E+02   2.29730E-14
  4.00000E+02   2.02923E-14
  4.50000E+02   1.80936E-14
  5.00000E+02   1.61472E-14
