# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(a3Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.16742 Hartrees
#
# Threshold: 1.18243E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.18243E+01   0.00000E+00
  1.20000E+01   4.32816E-02
  1.25000E+01   2.37789E-01
  1.30000E+01   4.00340E-01
  1.35000E+01   4.73488E-01
  1.40000E+01   4.86849E-01
  1.45000E+01   4.70092E-01
  1.50000E+01   4.41930E-01
  1.55000E+01   4.10662E-01
  1.60000E+01   3.79853E-01
  1.65000E+01   3.50667E-01
  1.70000E+01   3.23534E-01
  1.75000E+01   2.98572E-01
  1.80000E+01   2.75805E-01
  1.85000E+01   2.55094E-01
  1.90000E+01   2.36251E-01
  1.95000E+01   2.19100E-01
  2.00000E+01   2.03501E-01
  2.10000E+01   1.76387E-01
  2.20000E+01   1.53765E-01
  2.30000E+01   1.34843E-01
  2.40000E+01   1.18857E-01
  2.50000E+01   1.05286E-01
  2.60000E+01   9.36929E-02
  2.70000E+01   8.37355E-02
  2.80000E+01   7.51375E-02
  2.90000E+01   6.76772E-02
  3.00000E+01   6.11456E-02
  3.50000E+01   3.85845E-02
  4.00000E+01   2.58664E-02
  4.50000E+01   1.81856E-02
  5.00000E+01   1.32615E-02
  6.00000E+01   7.68119E-03
  7.00000E+01   4.83900E-03
  8.00000E+01   3.24297E-03
  9.00000E+01   2.27839E-03
  1.00000E+02   1.66084E-03
  1.25000E+02   8.50802E-04
  1.50000E+02   4.92137E-04
