# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=1) -> e + D2(Bp1Su,vf=7)
# Initial-state energy: -1.15378 Hartrees
# Final-state energy:   -0.62811 Hartrees
# Threshold: 1.43041E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.43041E+01   0.00000E+00
  1.45000E+01   1.94782E-06
  1.50000E+01   3.36439E-06
  1.55000E+01   4.33699E-06
  1.60000E+01   5.04759E-06
  1.65000E+01   5.59688E-06
  1.70000E+01   6.04381E-06
  1.75000E+01   6.41161E-06
  1.80000E+01   6.72134E-06
  1.85000E+01   6.98561E-06
  1.90000E+01   7.20929E-06
  1.95000E+01   7.40155E-06
  2.00000E+01   7.56591E-06
  2.10000E+01   7.82404E-06
  2.20000E+01   8.00069E-06
  2.30000E+01   8.12467E-06
  2.40000E+01   8.20472E-06
  2.50000E+01   8.24877E-06
  2.60000E+01   8.26514E-06
  2.70000E+01   8.25724E-06
  2.80000E+01   8.22855E-06
  2.90000E+01   8.19177E-06
  3.00000E+01   8.12635E-06
  3.50000E+01   7.71848E-06
  4.00000E+01   7.06862E-06
  4.50000E+01   6.44062E-06
  5.00000E+01   5.87233E-06
  6.00000E+01   4.92452E-06
  7.00000E+01   4.20276E-06
  8.00000E+01   3.62286E-06
  9.00000E+01   3.15977E-06
  1.00000E+02   2.78596E-06
  1.25000E+02   2.11990E-06
  1.50000E+02   1.70871E-06
  2.00000E+02   1.23698E-06
  2.50000E+02   9.87235E-07
  3.00000E+02   8.44304E-07
  3.50000E+02   7.51506E-07
  4.00000E+02   6.86135E-07
  4.50000E+02   6.48147E-07
  5.00000E+02   5.98039E-07
