# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=10) -> e + D2(D1Pu) (dissociative excitation)
# Initial-state energy: -1.05475 Hartrees
#
# Threshold: 1.35838E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.35838E+01   0.00000E+00
  1.40000E+01   1.95985E-04
  1.45000E+01   6.39272E-04
  1.50000E+01   1.45239E-03
  1.55000E+01   2.48938E-03
  1.60000E+01   3.87506E-03
  1.65000E+01   5.12003E-03
  1.70000E+01   6.48275E-03
  1.75000E+01   7.86129E-03
  1.80000E+01   9.41832E-03
  1.85000E+01   1.09794E-02
  1.90000E+01   1.25310E-02
  1.95000E+01   1.40664E-02
  2.00000E+01   1.55465E-02
  2.10000E+01   1.84181E-02
  2.20000E+01   2.11354E-02
  2.30000E+01   2.37113E-02
  2.40000E+01   2.61512E-02
  2.50000E+01   2.84514E-02
  2.60000E+01   3.06247E-02
  2.70000E+01   3.26784E-02
  2.80000E+01   3.46195E-02
  2.90000E+01   3.64549E-02
  3.00000E+01   3.81893E-02
  3.50000E+01   4.55496E-02
  4.00000E+01   5.11326E-02
  4.50000E+01   5.53592E-02
  5.00000E+01   5.85312E-02
  6.00000E+01   6.25939E-02
  7.00000E+01   6.45862E-02
  8.00000E+01   6.52567E-02
  9.00000E+01   6.50728E-02
  1.00000E+02   6.43254E-02
  1.25000E+02   6.11965E-02
  1.50000E+02   5.74087E-02
  2.00000E+02   5.00969E-02
  2.50000E+02   4.40402E-02
  3.00000E+02   3.92303E-02
  3.50000E+02   3.53983E-02
  4.00000E+02   3.22871E-02
  4.50000E+02   2.96948E-02
  5.00000E+02   2.74570E-02
