# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=10) -> e + D2(a3Sg) (sum over all final vibrational levels)
# Initial-state energy: -1.05475 Hartrees
#
# Threshold: 8.75835E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.75835E+00   0.00000E+00
  9.00000E+00   1.34166E-03
  9.50000E+00   1.60117E-03
  1.00000E+01   1.74746E-01
  1.05000E+01   2.55711E-01
  1.15000E+01   3.26519E-01
  1.20000E+01   3.31682E-01
  1.25000E+01   3.48254E-01
  1.30000E+01   3.38360E-01
  1.35000E+01   3.23063E-01
  1.40000E+01   3.10639E-01
  1.45000E+01   2.97244E-01
  1.50000E+01   2.82755E-01
  1.55000E+01   2.65524E-01
  1.60000E+01   2.48342E-01
  1.65000E+01   2.32775E-01
  1.70000E+01   2.18140E-01
  1.75000E+01   2.04407E-01
  1.80000E+01   1.91699E-01
  1.85000E+01   1.79855E-01
  1.90000E+01   1.68742E-01
  1.95000E+01   1.58330E-01
  2.00000E+01   1.48579E-01
  2.10000E+01   1.30956E-01
  2.20000E+01   1.15707E-01
  2.30000E+01   1.02583E-01
  2.40000E+01   9.12325E-02
  2.50000E+01   8.13984E-02
  2.60000E+01   7.28667E-02
  2.70000E+01   6.54407E-02
  2.80000E+01   5.89652E-02
  2.90000E+01   5.32835E-02
  3.00000E+01   4.83133E-02
  3.50000E+01   3.07726E-02
  4.00000E+01   2.07511E-02
  4.50000E+01   1.46659E-02
  5.00000E+01   1.07441E-02
  6.00000E+01   6.26361E-03
  7.00000E+01   3.96526E-03
  8.00000E+01   2.66722E-03
  9.00000E+01   1.87925E-03
  1.00000E+02   1.37342E-03
  1.25000E+02   7.06598E-04
  1.50000E+02   4.10171E-04
