# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=10) -> e + D2(h3Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.05475 Hartrees
#
# Threshold: 1.08176E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.08176E+01   0.00000E+00
  1.15000E+01   1.26346E-03
  1.20000E+01   3.63256E-03
  1.25000E+01   5.92053E-03
  1.30000E+01   7.86390E-03
  1.35000E+01   9.05934E-03
  1.40000E+01   9.82887E-03
  1.45000E+01   1.02669E-02
  1.50000E+01   1.05166E-02
  1.55000E+01   1.06075E-02
  1.60000E+01   1.05758E-02
  1.65000E+01   1.04579E-02
  1.70000E+01   1.02766E-02
  1.75000E+01   1.00500E-02
  1.80000E+01   9.79210E-03
  1.85000E+01   9.51324E-03
  1.90000E+01   9.22076E-03
  1.95000E+01   8.92201E-03
  2.00000E+01   8.62130E-03
  2.10000E+01   8.02398E-03
  2.20000E+01   7.44858E-03
  2.30000E+01   6.90607E-03
  2.40000E+01   6.47293E-03
  2.50000E+01   6.07417E-03
  2.60000E+01   5.69275E-03
  2.70000E+01   5.33185E-03
  2.80000E+01   4.99475E-03
  2.90000E+01   4.67868E-03
  3.00000E+01   4.38605E-03
  3.50000E+01   3.21259E-03
  4.00000E+01   2.40992E-03
  4.50000E+01   1.85070E-03
  5.00000E+01   1.45174E-03
  6.00000E+01   9.42270E-04
  7.00000E+01   6.47561E-04
  8.00000E+01   4.65199E-04
  9.00000E+01   3.46156E-04
  1.00000E+02   2.65019E-04
  1.25000E+02   1.48699E-04
  1.50000E+02   9.20477E-05
