# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=10) -> e + D2(h3Sg,vf=2)
# Initial-state energy: -1.05475 Hartrees
# Final-state energy:   -0.64421 Hartrees
# Threshold: 1.11714E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.11714E+01   0.00000E+00
  1.15000E+01   9.32448E-05
  1.20000E+01   7.70389E-05
  1.25000E+01   2.00687E-04
  1.30000E+01   2.74021E-04
  1.35000E+01   3.15793E-04
  1.40000E+01   3.42720E-04
  1.45000E+01   3.56533E-04
  1.50000E+01   3.64744E-04
  1.55000E+01   3.66678E-04
  1.60000E+01   3.65643E-04
  1.65000E+01   3.61535E-04
  1.70000E+01   3.55262E-04
  1.75000E+01   3.47526E-04
  1.80000E+01   3.38674E-04
  1.85000E+01   3.29086E-04
  1.90000E+01   3.19096E-04
  1.95000E+01   3.08873E-04
  2.00000E+01   2.98489E-04
  2.10000E+01   2.77895E-04
  2.20000E+01   2.58036E-04
  2.30000E+01   2.39258E-04
  2.40000E+01   2.28771E-04
  2.50000E+01   2.17613E-04
  2.60000E+01   2.06339E-04
  2.70000E+01   1.95224E-04
  2.80000E+01   1.84504E-04
  2.90000E+01   1.74206E-04
  3.00000E+01   1.64484E-04
  3.50000E+01   1.23965E-04
  4.00000E+01   9.49749E-05
  4.50000E+01   7.41695E-05
  5.00000E+01   5.90105E-05
  6.00000E+01   3.91916E-05
  7.00000E+01   2.74368E-05
  8.00000E+01   2.00222E-05
  9.00000E+01   1.51066E-05
  1.00000E+02   1.17046E-05
  1.25000E+02   6.60852E-06
  1.50000E+02   4.09036E-06
