# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=10) -> e + D2(j3Dg) (sum over all final vibrational levels)
# Initial-state energy: -1.05475 Hartrees
#
# Threshold: 1.09088E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.09088E+01   0.00000E+00
  1.15000E+01   1.08340E-03
  1.20000E+01   1.15069E-02
  1.25000E+01   1.75584E-02
  1.30000E+01   2.05931E-02
  1.35000E+01   2.21132E-02
  1.40000E+01   2.30991E-02
  1.45000E+01   2.31346E-02
  1.50000E+01   2.32483E-02
  1.55000E+01   2.31638E-02
  1.60000E+01   2.26950E-02
  1.65000E+01   2.21818E-02
  1.70000E+01   2.16646E-02
  1.75000E+01   2.10819E-02
  1.80000E+01   2.04152E-02
  1.85000E+01   1.96581E-02
  1.90000E+01   1.88235E-02
  1.95000E+01   1.79629E-02
  2.00000E+01   1.71132E-02
  2.10000E+01   1.54976E-02
  2.20000E+01   1.40239E-02
  2.30000E+01   1.27083E-02
  2.40000E+01   1.15278E-02
  2.50000E+01   1.04755E-02
  2.60000E+01   9.54283E-03
  2.70000E+01   8.71580E-03
  2.80000E+01   7.97964E-03
  2.90000E+01   7.32193E-03
  3.00000E+01   6.73311E-03
  3.50000E+01   4.56183E-03
  4.00000E+01   3.22989E-03
  4.50000E+01   2.37381E-03
  5.00000E+01   1.79257E-03
  6.00000E+01   1.09688E-03
  7.00000E+01   7.21069E-04
  8.00000E+01   4.99951E-04
  9.00000E+01   3.61220E-04
  1.00000E+02   2.69728E-04
  1.25000E+02   1.44745E-04
  1.50000E+02   8.67685E-05
