# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=12) -> e + D2(J1Dg) (dissociative excitation)
# Initial-state energy: -1.03856 Hartrees
#
# Threshold: 1.31432E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.31432E+01   0.00000E+00
  1.35000E+01   5.02836E-05
  1.40000E+01   3.65982E-04
  1.45000E+01   8.08301E-04
  1.50000E+01   1.62168E-03
  1.55000E+01   2.56676E-03
  1.60000E+01   3.79156E-03
  1.65000E+01   4.02668E-03
  1.70000E+01   4.72462E-03
  1.75000E+01   5.13526E-03
  1.80000E+01   5.65169E-03
  1.85000E+01   6.09815E-03
  1.90000E+01   6.39824E-03
  1.95000E+01   6.61880E-03
  2.00000E+01   6.78719E-03
  2.10000E+01   7.01383E-03
  2.20000E+01   7.13831E-03
  2.30000E+01   7.19376E-03
  2.40000E+01   7.20067E-03
  2.50000E+01   7.17355E-03
  2.60000E+01   7.12225E-03
  2.70000E+01   7.05337E-03
  2.80000E+01   6.97188E-03
  2.90000E+01   6.88137E-03
  3.00000E+01   6.78456E-03
  3.50000E+01   6.26395E-03
  4.00000E+01   5.75429E-03
  4.50000E+01   5.29230E-03
  5.00000E+01   4.88458E-03
  6.00000E+01   4.20950E-03
  7.00000E+01   3.68323E-03
  8.00000E+01   3.26568E-03
  9.00000E+01   2.92765E-03
  1.00000E+02   2.65088E-03
  1.25000E+02   2.13524E-03
  1.50000E+02   1.78142E-03
  2.00000E+02   1.33010E-03
  2.50000E+02   1.05594E-03
  3.00000E+02   8.72664E-04
  3.50000E+02   7.41877E-04
  4.00000E+02   6.43975E-04
  4.50000E+02   5.68061E-04
  5.00000E+02   5.07617E-04
