# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=12) -> e + D2(g3Sg,vf=22)
# Initial-state energy: -1.03856 Hartrees
# Final-state energy:   -0.55788 Hartrees
# Threshold: 1.30800E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.30800E+01   0.00000E+00
  1.35000E+01   4.68750E-06
  1.40000E+01   6.32128E-06
  1.45000E+01   7.30360E-06
  1.50000E+01   7.89986E-06
  1.55000E+01   8.26079E-06
  1.60000E+01   8.45524E-06
  1.65000E+01   8.52884E-06
  1.70000E+01   8.51383E-06
  1.75000E+01   8.43106E-06
  1.80000E+01   8.30297E-06
  1.85000E+01   8.13925E-06
  1.90000E+01   7.94840E-06
  1.95000E+01   7.77821E-06
  2.00000E+01   7.63175E-06
  2.10000E+01   7.30358E-06
  2.20000E+01   6.93284E-06
  2.30000E+01   6.53940E-06
  2.40000E+01   5.95900E-06
  2.50000E+01   5.41867E-06
  2.60000E+01   4.94792E-06
  2.70000E+01   4.53480E-06
  2.80000E+01   4.17057E-06
  2.90000E+01   3.84311E-06
  3.00000E+01   3.55508E-06
  3.50000E+01   2.48106E-06
  4.00000E+01   1.80923E-06
  4.50000E+01   1.36120E-06
  5.00000E+01   1.05203E-06
  6.00000E+01   6.68515E-07
  7.00000E+01   4.54946E-07
  8.00000E+01   3.31925E-07
  9.00000E+01   2.48825E-07
  1.00000E+02   1.92688E-07
  1.25000E+02   1.15609E-07
  1.50000E+02   7.98761E-08
