# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=13) -> e + D2(GK1Sg,vf=1)
# Initial-state energy: -1.03133 Hartrees
# Final-state energy:   -0.65709 Hartrees
# Threshold: 1.01834E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.01834E+01   0.00000E+00
  1.05000E+01   3.79758E-04
  1.15000E+01   7.93862E-04
  1.20000E+01   8.67290E-04
  1.25000E+01   8.96029E-04
  1.30000E+01   9.14907E-04
  1.35000E+01   9.25376E-04
  1.40000E+01   9.46886E-04
  1.45000E+01   9.67981E-04
  1.50000E+01   9.92771E-04
  1.55000E+01   1.01465E-03
  1.60000E+01   1.03523E-03
  1.65000E+01   1.05650E-03
  1.70000E+01   1.07668E-03
  1.75000E+01   1.09417E-03
  1.80000E+01   1.10844E-03
  1.85000E+01   1.11983E-03
  1.90000E+01   1.12825E-03
  1.95000E+01   1.13433E-03
  2.00000E+01   1.13806E-03
  2.10000E+01   1.14017E-03
  2.20000E+01   1.13638E-03
  2.30000E+01   1.12859E-03
  2.40000E+01   1.11792E-03
  2.50000E+01   1.10530E-03
  2.60000E+01   1.09155E-03
  2.70000E+01   1.07708E-03
  2.80000E+01   1.06261E-03
  2.90000E+01   1.04592E-03
  3.00000E+01   1.02958E-03
  3.50000E+01   9.54061E-04
  4.00000E+01   8.89091E-04
  4.50000E+01   8.37702E-04
  5.00000E+01   7.96205E-04
  6.00000E+01   7.32000E-04
  7.00000E+01   6.80174E-04
  8.00000E+01   6.34315E-04
  9.00000E+01   5.92518E-04
  1.00000E+02   5.54173E-04
  1.25000E+02   4.72895E-04
  1.50000E+02   4.10598E-04
  2.00000E+02   3.28174E-04
  2.50000E+02   2.79441E-04
  3.00000E+02   2.44945E-04
  3.50000E+02   2.18667E-04
  4.00000E+02   1.89677E-04
  4.50000E+02   1.66427E-04
  5.00000E+02   1.46095E-04
