# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=13) -> e + D2(J1Dg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.03133 Hartrees
#
# Threshold: 1.02723E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02723E+01   0.00000E+00
  1.05000E+01   3.83848E-05
  1.15000E+01   1.77999E-02
  1.20000E+01   2.99885E-02
  1.25000E+01   3.61946E-02
  1.30000E+01   4.05370E-02
  1.35000E+01   4.28254E-02
  1.40000E+01   4.42164E-02
  1.45000E+01   4.51621E-02
  1.50000E+01   4.58104E-02
  1.55000E+01   4.62751E-02
  1.60000E+01   4.65925E-02
  1.65000E+01   4.68019E-02
  1.70000E+01   4.69229E-02
  1.75000E+01   4.69747E-02
  1.80000E+01   4.69608E-02
  1.85000E+01   4.68948E-02
  1.90000E+01   4.67854E-02
  1.95000E+01   4.66398E-02
  2.00000E+01   4.64636E-02
  2.10000E+01   4.60349E-02
  2.20000E+01   4.55300E-02
  2.30000E+01   4.49732E-02
  2.40000E+01   4.43754E-02
  2.50000E+01   4.37485E-02
  2.60000E+01   4.31029E-02
  2.70000E+01   4.24464E-02
  2.80000E+01   4.17851E-02
  2.90000E+01   4.11233E-02
  3.00000E+01   4.04629E-02
  3.50000E+01   3.72702E-02
  4.00000E+01   3.43458E-02
  4.50000E+01   3.17241E-02
  5.00000E+01   2.93916E-02
  6.00000E+01   2.54821E-02
  7.00000E+01   2.23773E-02
  8.00000E+01   1.98779E-02
  9.00000E+01   1.78339E-02
  1.00000E+02   1.61368E-02
  1.25000E+02   1.29724E-02
  1.50000E+02   1.07875E-02
  2.00000E+02   8.00874E-03
  2.50000E+02   6.33908E-03
  3.00000E+02   5.23734E-03
  3.50000E+02   4.46189E-03
  4.00000E+02   3.89042E-03
  4.50000E+02   3.45478E-03
  5.00000E+02   3.11190E-03
