# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=13) -> e + D2(h3Sg) (dissociative excitation)
# Initial-state energy: -1.03133 Hartrees
#
# Threshold: 1.10568E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.10568E+01   0.00000E+00
  1.15000E+01   2.74249E-03
  1.20000E+01   9.01656E-03
  1.25000E+01   1.38594E-02
  1.30000E+01   2.00701E-02
  1.35000E+01   2.27457E-02
  1.40000E+01   2.77439E-02
  1.45000E+01   2.99996E-02
  1.50000E+01   3.34331E-02
  1.55000E+01   3.73376E-02
  1.60000E+01   4.01305E-02
  1.65000E+01   3.81438E-02
  1.70000E+01   3.78560E-02
  1.75000E+01   3.72183E-02
  1.80000E+01   3.61297E-02
  1.85000E+01   3.57686E-02
  1.90000E+01   3.55170E-02
  1.95000E+01   3.48875E-02
  2.00000E+01   3.39452E-02
  2.10000E+01   3.16128E-02
  2.20000E+01   2.92982E-02
  2.30000E+01   2.64834E-02
  2.40000E+01   2.41118E-02
  2.50000E+01   2.19815E-02
  2.60000E+01   2.00803E-02
  2.70000E+01   1.83856E-02
  2.80000E+01   1.68733E-02
  2.90000E+01   1.55210E-02
  3.00000E+01   1.43089E-02
  3.50000E+01   9.82339E-03
  4.00000E+01   7.04059E-03
  4.50000E+01   5.22473E-03
  5.00000E+01   3.98860E-03
  6.00000E+01   2.48484E-03
  7.00000E+01   1.65677E-03
  8.00000E+01   1.16221E-03
  9.00000E+01   8.47922E-04
  1.00000E+02   6.37944E-04
  1.25000E+02   3.50060E-04
  1.50000E+02   2.12880E-04
