# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=13) -> e + D2(i3Pg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.03133 Hartrees
#
# Threshold: 1.02147E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.02147E+01   0.00000E+00
  1.05000E+01   4.37097E-07
  1.15000E+01   2.91175E-04
  1.20000E+01   4.68576E-04
  1.25000E+01   6.26357E-04
  1.30000E+01   7.96889E-04
  1.35000E+01   7.78784E-04
  1.40000E+01   7.24541E-04
  1.45000E+01   6.87639E-04
  1.50000E+01   6.56975E-04
  1.55000E+01   6.28977E-04
  1.60000E+01   6.02445E-04
  1.65000E+01   5.76937E-04
  1.70000E+01   5.52239E-04
  1.75000E+01   5.28389E-04
  1.80000E+01   5.05412E-04
  1.85000E+01   4.83139E-04
  1.90000E+01   4.61917E-04
  1.95000E+01   4.41491E-04
  2.00000E+01   4.22209E-04
  2.10000E+01   3.86439E-04
  2.20000E+01   3.53921E-04
  2.30000E+01   3.24878E-04
  2.40000E+01   2.98802E-04
  2.50000E+01   2.75335E-04
  2.60000E+01   2.54335E-04
  2.70000E+01   2.35422E-04
  2.80000E+01   2.18454E-04
  2.90000E+01   2.03437E-04
  3.00000E+01   1.89105E-04
  3.50000E+01   1.37942E-04
  4.00000E+01   1.05436E-04
  4.50000E+01   8.52133E-05
  5.00000E+01   5.91943E-05
  6.00000E+01   3.25598E-05
  7.00000E+01   2.02460E-05
  8.00000E+01   1.35535E-05
  9.00000E+01   9.55793E-06
  1.00000E+02   7.02495E-06
  1.25000E+02   3.66303E-06
  1.50000E+02   2.16319E-06
