# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=14) -> e + D2(B1Su) (sum over all final vibrational levels)
# Initial-state energy: -1.02471 Hartrees
#
# Threshold: 7.35325E+00 eV
#
# Energy (eV)   CS (a_0^2)
  7.35325E+00   0.00000E+00
  7.50000E+00   2.78247E-04
  8.00000E+00   6.97328E-02
  8.50000E+00   4.37156E-01
  9.00000E+00   8.49715E-01
  9.50000E+00   1.21901E+00
  1.00000E+01   1.52620E+00
  1.05000E+01   1.78024E+00
  1.15000E+01   2.18221E+00
  1.20000E+01   2.34083E+00
  1.25000E+01   2.47790E+00
  1.30000E+01   2.59868E+00
  1.35000E+01   2.70536E+00
  1.40000E+01   2.80019E+00
  1.45000E+01   2.88512E+00
  1.50000E+01   2.96168E+00
  1.55000E+01   3.03109E+00
  1.60000E+01   3.09414E+00
  1.65000E+01   3.15164E+00
  1.70000E+01   3.20413E+00
  1.75000E+01   3.25215E+00
  1.80000E+01   3.29616E+00
  1.85000E+01   3.33653E+00
  1.90000E+01   3.37357E+00
  1.95000E+01   3.40763E+00
  2.00000E+01   3.43895E+00
  2.10000E+01   3.49438E+00
  2.20000E+01   3.54137E+00
  2.30000E+01   3.58119E+00
  2.40000E+01   3.61488E+00
  2.50000E+01   3.64326E+00
  2.60000E+01   3.66704E+00
  2.70000E+01   3.68675E+00
  2.80000E+01   3.70290E+00
  2.90000E+01   3.71597E+00
  3.00000E+01   3.72615E+00
  3.50000E+01   3.74488E+00
  4.00000E+01   3.72635E+00
  4.50000E+01   3.68533E+00
  5.00000E+01   3.63035E+00
  6.00000E+01   3.49820E+00
  7.00000E+01   3.35419E+00
  8.00000E+01   3.20934E+00
  9.00000E+01   3.06884E+00
  1.00000E+02   2.93510E+00
  1.25000E+02   2.63519E+00
  1.50000E+02   2.38313E+00
  2.00000E+02   1.99530E+00
  2.50000E+02   1.71825E+00
  3.00000E+02   1.51353E+00
  3.50000E+02   1.35621E+00
  4.00000E+02   1.23002E+00
  4.50000E+02   1.12405E+00
  5.00000E+02   1.03074E+00
