# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=15) -> e + D2(C1Pu) (sum over all final vibrational levels)
# Initial-state energy: -1.01874 Hartrees
#
# Threshold: 8.28009E+00 eV
#
# Energy (eV)   CS (a_0^2)
  8.28009E+00   0.00000E+00
  8.50000E+00   2.81130E-06
  9.00000E+00   2.42589E-06
  9.50000E+00   1.40745E-04
  1.00000E+01   3.69563E-02
  1.05000E+01   1.31946E-01
  1.15000E+01   3.04437E-01
  1.20000E+01   3.82975E-01
  1.25000E+01   4.57692E-01
  1.30000E+01   5.28049E-01
  1.35000E+01   5.95208E-01
  1.40000E+01   6.59193E-01
  1.45000E+01   7.19735E-01
  1.50000E+01   7.77499E-01
  1.55000E+01   8.32883E-01
  1.60000E+01   8.85902E-01
  1.65000E+01   9.36730E-01
  1.70000E+01   9.85416E-01
  1.75000E+01   1.03201E+00
  1.80000E+01   1.07661E+00
  1.85000E+01   1.11932E+00
  1.90000E+01   1.16026E+00
  1.95000E+01   1.19952E+00
  2.00000E+01   1.23720E+00
  2.10000E+01   1.30810E+00
  2.20000E+01   1.37360E+00
  2.30000E+01   1.43419E+00
  2.40000E+01   1.49032E+00
  2.50000E+01   1.54237E+00
  2.60000E+01   1.59068E+00
  2.70000E+01   1.63554E+00
  2.80000E+01   1.67721E+00
  2.90000E+01   1.71596E+00
  3.00000E+01   1.75196E+00
  3.50000E+01   1.89724E+00
  4.00000E+01   1.99698E+00
  4.50000E+01   2.06338E+00
  5.00000E+01   2.10502E+00
  6.00000E+01   2.13674E+00
  7.00000E+01   2.12435E+00
  8.00000E+01   2.08633E+00
  9.00000E+01   2.03372E+00
  1.00000E+02   1.97334E+00
  1.25000E+02   1.81267E+00
  1.50000E+02   1.65959E+00
  2.00000E+02   1.40636E+00
  2.50000E+02   1.22010E+00
  3.00000E+02   1.08275E+00
  3.50000E+02   9.77921E-01
  4.00000E+02   8.93669E-01
  4.50000E+02   8.21518E-01
  5.00000E+02   7.55434E-01
