# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=15) -> e + D2(GK1Sg) (sum over all bound final vibrational levels)
# Initial-state energy: -1.01874 Hartrees
#
# Threshold: 9.78725E+00 eV
#
# Energy (eV)   CS (a_0^2)
  9.78725E+00   0.00000E+00
  1.00000E+01   6.55400E-04
  1.05000E+01   1.10238E-01
  1.15000E+01   2.05604E-01
  1.20000E+01   2.24944E-01
  1.25000E+01   2.37992E-01
  1.30000E+01   2.48248E-01
  1.35000E+01   2.57200E-01
  1.40000E+01   2.65380E-01
  1.45000E+01   2.72883E-01
  1.50000E+01   2.79667E-01
  1.55000E+01   2.85670E-01
  1.60000E+01   2.90826E-01
  1.65000E+01   2.95124E-01
  1.70000E+01   2.98568E-01
  1.75000E+01   3.01201E-01
  1.80000E+01   3.03076E-01
  1.85000E+01   3.04258E-01
  1.90000E+01   3.04820E-01
  1.95000E+01   3.04839E-01
  2.00000E+01   3.04377E-01
  2.10000E+01   3.02316E-01
  2.20000E+01   2.99110E-01
  2.30000E+01   2.95168E-01
  2.40000E+01   2.90793E-01
  2.50000E+01   2.86216E-01
  2.60000E+01   2.81601E-01
  2.70000E+01   2.77063E-01
  2.80000E+01   2.72677E-01
  2.90000E+01   2.68491E-01
  3.00000E+01   2.64534E-01
  3.50000E+01   2.48216E-01
  4.00000E+01   2.36593E-01
  4.50000E+01   2.27809E-01
  5.00000E+01   2.20564E-01
  6.00000E+01   2.07877E-01
  7.00000E+01   1.95920E-01
  8.00000E+01   1.84187E-01
  9.00000E+01   1.72808E-01
  1.00000E+02   1.61987E-01
  1.25000E+02   1.38193E-01
  1.50000E+02   1.19473E-01
  2.00000E+02   9.48311E-02
  2.50000E+02   8.09319E-02
  3.00000E+02   7.13730E-02
  3.50000E+02   6.23856E-02
  4.00000E+02   5.29999E-02
  4.50000E+02   4.73670E-02
  5.00000E+02   4.27260E-02
